supplier_id,company_name,sector,city,company_size,founded_year,employee_count,vkn,supplier_annual_revenue_tl,annual_purchase_volume_tl,total_orders_last_year,late_orders_last_year,price_q1,price_q2,price_q3,price_q4,units_shipped_last_year,units_returned_last_year,contract_start_date,last_audit_date,payment_terms_days,iso_certified,vkn_valid
SUP043,Erdoğan İnşaat Malzemeleri San. Tic. Ltd. Şti.,İnşaat Malzemeleri,Şanlıurfa,Medium,1978,125,6562386901,885321309.35,,52,5,754.84,784.48,781.86,795.0,109663,23515,2023-11-16,,45,,False
SUP050,Gül Akgündüz Kauçuk Ltd. Şti.,Plastik ve Kauçuk,Mersin,Small,1986,13,6329318366,27082770.59,1540336.32,32,0,164.05,150.19,136.16,141.11,1492,18,2024-05-30,,45,,False
SUP012,Manço Bilir Lojistik San. Tic. Ltd. Şti.,Lojistik,İzmir,Medium,1978,199,8882081215,270908080.54,10965851.36,124,41,600.69,573.53,542.92,516.34,104163,20513,2022-06-25,2025-04-13,30,False,True
SUP031,Alemdar İnşaat Malzemeleri Ltd. Şti.,İnşaat Malzemeleri,Sakarya,Small,2005,17,9233749890,73256944.8,6563940.49,57,31,146.35,146.22,153.21,150.62,9517,1199,2017-08-23,,60,False,True
SUP040,Soylu Taşımacılık San. ve Tic. A.Ş.,Lojistik,Gaziantep,Large,2003,2654,8278755886,6530043274.02,235869615.02,169,27,1425.18,1367.33,1184.36,1259.09,153201,5833,2019-01-17,2025-10-10,90,True,True
SUP029,Şener Holding A.Ş.,Ambalaj,İstanbul,Large,1965,2153,7507527355,5147322333.45,150162030.03,338,117,4301.04,3947.86,4074.7,4333.97,536732,37533,2021-04-14,2026-08-29,60,True,True
SUP010,Sezgin Yapı Ltd. Şti.,İnşaat Malzemeleri,Denizli,Small,1991,,4387262471,70602809.26,17404746.59,39,13,290.13,274.72,268.83,277.81,14653,3041,2016-10-20,,45,False,True
SUP065,Tevetoğlu Şafak Demir Çelik Ltd. Şti.,Metal ve Çelik,Mersin,Small,2017,33,1542357334,95239776.2,23750524.42,18,3,290.42,258.88,273.87,265.98,11479,542,2025-09-01,2026-07-19,45,,True
SUP006,Tevetoğlu Kimyasal Ürünler Tic.,Kimya,Mersin,Small,1995,39,1482814897,71225506.92,,45,,411.65,398.85,379.5,368.08,14603,2007,2020-08-25,,45,False,True
SUP046,Gül Plastik San. Tic. Ltd. Şti.,Plastik ve Kauçuk,İstanbul,Medium,1977,,6214562327,712769584.76,20776587.19,136,13,917.33,976.8,868.67,815.66,104493,6632,2016-11-20,2026-02-20,60,,True
SUP032,Hayrioğlu Gülen Kimyasal Ürünler San. Tic. Ltd. Şti.,Kimya,Denizli,Medium,1993,228,3710947778,112733530.53,9557426.12,69,0,249.49,242.37,230.51,222.78,57301,1665,2017-03-28,,60,,True
SUP035,Çamurcuoğlu Makine İmalat Ltd. Şti.,Makine İmalat,Konya,Small,1999,19,5210249940,16406178.41,1334695.73,28,6,378.33,390.56,366.26,362.07,12017,1874,2023-06-04,2026-07-29,90,True,True
SUP045,Eraslan Durmuş İnşaat Malzemeleri Ltd. Şti.,İnşaat Malzemeleri,Eskişehir,Small,2010,27,1909743956,61473042.31,9617987.65,40,18,113.6,106.7,96.11,100.86,2247,89,2024-08-27,2025-10-25,45,False,True
SUP085,Safak Akcay İcecek Tic.,Gıda ve İçecek,Ankara,Small,2017,44,8947055167,93823186.2,9389506.13,48,20,78.41,,78.85,80.75,8946,1664,2024-04-28,2024-12-27,60,False,True
SUP017,Kisakürek Çorlu İçecek Grup A.Ş.,Gıda ve İçecek,İzmir,Large,1960,692,7073375439,7471411066.69,475771889.76,311,107,952.76,857.35,817.64,899.14,105990,12365,2018-10-25,2026-08-27,45,True,True
SUP066,Duran İnönü Oto Yedek Parça Ltd. Şti.,Otomotiv Yan Sanayi,Adana,Small,1995,21,3706535945,76477960.27,11153313.12,42,8,197.62,180.45,156.64,160.78,13130,1901,2020-04-18,2026-09-01,90,False,False
SUP008,Dumanlı Grup A.Ş.,Gıda ve İçecek,Eskişehir,Large,1991,1779,8871331501,3961965581.41,82745117.92,235,24,4201.89,4202.88,4323.36,4256.16,633306,110471,2023-10-30,2025-02-28,45,True,True
SUP070,Sama Yildirim Yapi Ltd. Şti.,İnşaat Malzemeleri,Ankara,Micro,2013,1,6396218518,8448533.35,1689273.82,25,13,21.18,21.17,19.7,21.48,3844,609,2020-07-07,2024-10-29,30,False,True
SUP057,Demir Yapı Ltd. Şti.,İnşaat Malzemeleri,Van,Small,,15,5767976432,38047363.27,,39,4,84.76,77.21,78.44,82.63,6085,1322,2025-01-02,2024-09-25,30,False,True
SUP020,Ülker Yapi San. ve Tic. A.Ş.,İnşaat Malzemeleri,Mersin,Medium,,205,6777387213,653963424.36,34093063.72,126,4,1133.08,1137.9,1167.9,1160.29,108059,14012,2017-11-16,2024-10-15,60,False,True
SUP071,Bilgin Yılmaz Kauçuk Ltd. Şti.,Plastik ve Kauçuk,Sakarya,Small,,47,6205852775,11461800.8,2332183.08,34,9,114.43,111.04,108.07,109.86,6616,1122,2020-08-09,2025-12-11,45,False,True
SUP026,İhsanoğlu Tarhan İnşaat Malzemeleri Ltd. Şti.,İnşaat Malzemeleri,İzmir,Small,2007,24,2003309236,47940834.41,10244016.73,27,12,403.97,404.56,,452.93,12820,1678,2021-03-26,2026-03-09,45,False,True
SUP054,Arsoy İnönü İnşaat Malzemeleri San. Tic. Ltd. Şti.,İnşaat Malzemeleri,Kocaeli,Medium,,73,2161528098,484087605.63,49916742.26,93,12,152.63,170.71,170.23,154.32,105631,583,2020-01-28,2025-01-06,60,False,True
SUP014,Ergül Akdeniz Kimya Tic.,Kimya,Trabzon,Small,2004,49,9084124185,89134321.82,9920289.87,18,2,355.97,331.56,338.67,350.07,6218,,2023-02-26,2024-11-24,45,False,False
SUP062,Duran Öcalan Mobilya San. ve Tic. A.Ş.,Mobilya,Ankara,Medium,1980,207,9679807930,379367065.55,27795443.74,47,17,593.12,575.7,611.77,636.8,56129,2247,2017-11-14,2026-04-23,60,False,True
SUP004,Safak Karton Ltd. Şti.,Ambalaj,Kocaeli,Small,2005,35,5139537675,67599978.39,10310953.29,34,13,420.52,444.01,421.66,413.83,4922,718,2018-03-04,2025-12-12,45,False,True
SUP018,Şener Mansız Çelik Tic.,Metal ve Çelik,Denizli,Micro,2008,3,5019655698,3151687.43,764109.35,13,5,,198.01,189.33,174.79,668,28,2021-09-05,,30,False,True
SUP039,Bilgin Elektronik San. Tic. Ltd. Şti.,Elektronik,Denizli,Medium,1984,177,5846773786,112307018.02,7537900.63,130,,409.54,438.24,444.93,453.94,30758,4922,2023-06-27,,45,True,True
SUP009,Bilge Makine Ltd. Şti.,Makine İmalat,İzmir,Micro,2006,9,3997376310,9101490.12,2802263.44,25,5,55.38,62.66,58.94,56.94,582,88,2021-06-04,2026-05-31,30,False,True
SUP068,Akçay Fırat Karton Tic.,Ambalaj,Sakarya,Micro,2001,7,9536153058,1371278.91,443130.82,21,8,,167.53,174.66,173.72,1307,245,2023-01-17,2025-08-16,30,False,True
SUP007,Akar Demirel Lojistik San. ve Tic. A.Ş.,Lojistik,Çorum,Medium,1994,,1391171825,639050126.01,50104596.76,139,28,1012.32,986.77,966.48,919.96,79514,5809,2017-02-21,,45,False,True
SUP037,Durmuş Kimyasal Ürünler Tic.,Kimya,Konya,Small,1991,,6674680712,83282045.01,20253539.74,21,,174.75,184.53,176.1,170.14,10090,932,2020-11-20,2026-04-11,60,False,True
SUP077,Çetin Güçlü Makine San. Tic. Ltd. Şti.,Makine İmalat,Bursa,Medium,2006,56,6895782918,814326745.46,66144344.88,130,27,717.93,704.08,791.81,809.96,101779,1959,2024-09-25,,30,True,True
SUP063,Ülker Tekstil Ltd. Şti.,Tekstil,Trabzon,Small,2013,38,9892554661,85363946.04,21010186.52,38,17,338.16,330.64,314.11,301.11,2195,,2018-10-31,2024-12-18,60,False,True
SUP051,İnönü Akçay Gıda Tic.,Gıda ve İçecek,Denizli,Small,1986,18,1539502459,87256551.37,5395190.86,60,2,23.81,24.77,23.84,23.24,10264,1689,2021-03-04,2025-10-03,45,False,False
SUP047,Akgündüz Gıda San. ve Tic. A.Ş.,Gıda ve İçecek,İstanbul,Large,2005,1877,9516048170,,215477088.13,231,50,4798.26,5538.13,5170.25,5601.01,585254,12028,2018-08-22,2026-02-21,60,True,True
SUP084,Akar Lojistik Tic.,Lojistik,Denizli,Small,2008,19,4986800023,71235877.61,3999069.93,27,8,372.51,367.49,379.62,357.57,14021,1109,2020-12-03,2025-02-05,,False,True
SUP016,Ertaş Holding A.Ş.,Makine İmalat,Adana,Large,,413,6331586921,3584511891.59,166462517.93,176,34,261.72,256.46,280.47,282.64,652092,612,2017-06-06,2026-03-30,45,False,True
SUP028,Ertaş Kısakürek Oto Yedek Parça San. Tic. Ltd. Şti.,Otomotiv Yan Sanayi,Denizli,Medium,1975,157,8165726280,412483388.78,28862667.93,141,47,923.29,942.17,937.29,952.79,84177,6725,2020-11-09,2025-01-14,60,False,True
SUP042,Şener Aksu Makine İmalat Tic.,Makine İmalat,Tekirdağ,Small,1990,31,9657809130,97296111.46,4520592.81,19,7,340.89,367.22,357.42,348.25,7217,988,2018-07-23,,60,False,True
SUP059,Yorulmaz Nakliyat Ltd. Şti.,Lojistik,,Small,2005,46,7966416051,45736405.68,8838518.87,52,14,,161.61,161.13,,13708,1373,2021-12-03,2025-03-14,,False,True
SUP027,Şener Aksu Elektronik Ltd. Şti.,Elektronik,Konya,Micro,2018,1,5966319311,2093996.86,486172.15,19,2,148.16,157.34,140.25,124.15,2199,277,2017-11-27,,60,False,True
SUP049,Şafak Aksu Elektrik Ltd. Şti.,Elektronik,Mersin,Micro,2003,8,7405377357,4024609.4,1347496.5,22,4,87.42,89.75,87.8,93.91,1211,95,2018-08-04,,30,False,True
SUP025,Ergül Bilir Ambalaj Tic.,Ambalaj,Tekirdağ,Small,1986,35,1162720463,71122769.65,8460029.78,11,3,146.31,140.32,139.92,150.59,6871,1044,2019-06-17,,60,False,True
SUP044,Tevetoğlu İnşaat Malzemeleri San. ve Tic. A.Ş.,İnşaat Malzemeleri,Eskişehir,Medium,1975,169,5821759465,921546114.42,27680002.19,119,18,331.34,304.67,339.17,342.91,99539,,,2025-07-03,60,False,True
SUP082,Gülen Mobilya Holding A.Ş.,Mobilya,Ankara,Large,1979,2292,5701687331,7316175789.52,482946898.35,314,69,4618.26,,5551.21,5443.02,340330,39196,2018-05-14,2024-10-27,60,True,True
SUP076,Yaman Gül Taşımacılık Tic.,Lojistik,İzmir,Small,1997,17,3172715513,73363403.01,5664057.74,17,5,293.36,,,271.6,4788,873,2020-05-03,2025-11-02,60,False,True
SUP058,Karadeniz Kauçuk Ltd. Şti.,Plastik ve Kauçuk,Gaziantep,Micro,,3,5451076220,6837759.31,435053.86,26,12,92.12,82.4,78.09,81.8,4958,1076,2022-11-13,2026-07-24,90,False,True
SUP033,Bilir Ambalaj Ltd. Şti.,Ambalaj,Kayseri,Micro,2009,2,4186999389,1203780.62,287503.39,8,2,89.3,93.36,90.39,87.27,635,49,2021-03-31,2024-10-31,90,False,True
SUP081,Şensoy Karton Tic.,Ambalaj,Adana,Small,,45,2537147323,38132424.93,7170414.88,23,10,248.27,250.15,247.55,247.78,6073,415,2017-08-12,,30,True,True
SUP060,Durdu Makine İmalat San. Tic. Ltd. Şti.,Makine İmalat,Gaziantep,Medium,1996,106,6218188354,,13863621.95,86,20,,577.75,557.97,530.1,21551,3171,2020-10-15,2026-07-23,60,False,True
SUP064,Aksu Eraslan Kauçuk Tic.,Plastik ve Kauçuk,Eskişehir,Micro,2019,3,6192546298,,354363.24,25,7,22.64,,22.52,22.85,2841,547,2024-10-11,2025-11-11,30,False,True
SUP074,Zorlu Yüksel Makine İmalat Tic.,Makine İmalat,Şanlıurfa,Small,1988,,7582029704,75413295.61,17386806.1,38,11,188.65,191.19,203.2,223.73,6259,516,2022-04-25,2024-11-04,45,True,True
SUP038,Zengin Şafak Yapı Tic.,İnşaat Malzemeleri,İzmir,Micro,2020,8,2348247717,,983761.73,21,9,137.13,135.91,132.58,127.79,109,21,2021-02-28,2026-04-13,30,False,False
SUP030,Hayrioğlu Karadeniz Makine İmalat San. ve Tic. A.Ş.,Makine İmalat,Bursa,Medium,2005,215,8701436349,953256320.0,20958116.79,75,25,65.94,68.49,74.11,69.82,82848,4472,2020-06-05,2026-02-23,60,False,True
SUP002,Yaman Tekstil Tic.,Tekstil,Manisa,Small,1991,32,6940781617,48035295.83,4377537.94,58,5,81.26,78.75,75.91,80.23,13702,2711,2020-11-09,2025-03-02,,False,True
SUP053,Şener Zorlu İçecek Tic.,Gıda ve İçecek,Gaziantep,Small,2003,39,9961183672,,10089294.87,14,1,134.53,127.4,131.78,117.92,2567,236,,2026-06-25,45,False,True
SUP022,Bilgin Bilge Oto Yedek Parça Ltd. Şti.,Otomotiv Yan Sanayi,Denizli,Micro,2014,3,8889579867,,2106169.07,29,8,50.32,51.11,51.14,54.0,3582,203,2018-01-18,2026-07-06,90,False,True
SUP003,Korutürk Akçay Çelik San. Tic. Ltd. Şti.,Metal ve Çelik,Konya,Medium,1999,121,8525534196,141241945.29,5918850.86,113,30,871.55,917.65,862.1,780.2,35203,2578,2018-06-08,2026-02-17,45,False,True
SUP024,Karadeniz Arsoy İnsaat Malzemeleri Ltd. Şti.,İnşaat Malzemeleri,Van,Micro,2018,7,8054668896,1091524.25,327312.49,15,2,106.56,103.55,104.99,95.87,4545,799,2024-05-28,2026-01-16,45,False,True
SUP080,Seven Ertaş Mobilya San. Tic. Ltd. Şti.,Mobilya,Sakarya,Medium,1976,177,9447364717,877403072.46,18751156.27,83,20,91.0,99.91,95.29,96.98,83874,6226,2022-09-20,2025-08-05,30,True,True
SUP075,Soylu Çelik San. ve Tic. A.Ş.,Metal ve Çelik,Van,Medium,1979,196,3856543101,129146791.58,4065714.43,86,42,1195.13,1155.66,1109.09,1107.39,60181,1908,2021-06-06,,45,False,True
SUP021,Arslan Metal San. Tic. Ltd. Şti.,Metal ve Çelik,,Medium,2005,206,2769367632,311381738.67,16646070.74,51,3,1200.63,1245.99,1184.02,1144.22,117272,4947,2020-07-27,2026-05-03,45,False,True
SUP061,Gül Soylu Gıda San. Tic. Ltd. Şti.,Gıda ve İçecek,Sakarya,Medium,2006,168,8995527177,277544622.54,26182410.08,70,23,213.33,220.29,234.61,222.64,23474,1937,2018-01-12,2024-11-15,90,False,True
SUP072,Sener Yorulmaz Karton Tic.,Ambalaj,Aydın,Micro,2017,8,5034505418,8015537.53,2530802.7,6,2,51.46,55.52,56.18,,2503,260,2017-11-25,2026-03-13,60,False,True
SUP015,Eraslan Makine İmalat San. Tic. Ltd. Şti.,Makine İmalat,Mersin,Medium,1992,61,1524278681,867621533.85,70066744.85,83,21,907.75,961.57,974.97,985.28,36685,3859,2022-07-18,2025-12-22,,True,True
SUP052,Sakarya Bilge Makine İmalat Ltd. Şti.,Makine İmalat,Kocaeli,Small,,29,8007661779,42583507.64,6839189.14,14,3,193.26,,225.11,238.81,8302,1462,2025-04-30,2026-08-19,30,False,True
