supplier_id,company_name,sector,city,company_size,founded_year,employee_count,vkn,supplier_annual_revenue_tl,annual_purchase_volume_tl,total_orders_last_year,late_orders_last_year,price_q1,price_q2,price_q3,price_q4,units_shipped_last_year,units_returned_last_year,contract_start_date,last_audit_date,payment_terms_days,iso_certified,overdue_debt_ratio,debt_to_revenue_ratio,payment_default_last_3y,has_export_documentation,requires_full_upfront_payment,site_visit_verified,exports_to_eu,has_emissions_reporting_capability,period,vkn_valid
SUP006,Tevetoglu Otomotiv Tic.,Otomotiv Yan Sanayi,Eskişehir,Small,2008,,9713315090,21555231.8,2855362.48,55,25,312.62,334.83,328.48,338.03,9462,1434,2020-08-25,2025-10-07,45,False,0.16,0.51,False,True,False,True,True,False,2025-Q2,True
SUP024,Arsoy Yapi Ltd. Şti.,İnşaat Malzemeleri,Kocaeli,Small,2002,47,9941343523,73256944.8,6668943.56,59,29,142.64,126.79,145.33,139.71,9111,1431,2022-11-24,2025-01-14,60,True,0.14,0.63,False,False,False,,False,False,2025-Q2,True
SUP041,İnönü Gıda Ltd. Şti.,Gıda ve İçecek,İstanbul,Small,2011,31,8661565458,66976905.19,10922355.73,13,3,124.36,100.34,105.03,113.11,2533,105,2025-02-01,,45,,0.24,0.32,False,True,False,True,False,True,2025-Q3,True
SUP055,Aksu Duran Kimya Grup A.Ş.,Kimya,Sakarya,Large,1961,802,2704303056,3413617452.14,221233294.43,105,3,4044.2,3863.59,4251.87,,485191,,2023-01-20,2026-04-25,60,True,0.03,0.37,False,True,False,True,True,True,2025-Q2,True
SUP060,Gül İçecek San. ve Tic. A.Ş.,Gıda ve İçecek,Çorum,Large,1999,2508,3268018242,7997165307.54,568681871.89,140,11,1495.8,1714.57,1626.6,,128950,16256,2018-01-12,,45,True,0.22,0.51,False,False,False,,,True,2025-Q4,True
SUP007,Akar Demirel Makine İmalat Ltd. Şti.,Makine İmalat,Balıkesir,Micro,2013,4,2165667019,9101490.12,3018187.29,24,16,56.86,55.63,51.55,53.13,593,50,2017-02-21,2025-11-19,30,False,0.17,0.28,True,False,True,False,False,False,2025-Q3,True
SUP040,Yaman Zorlu Metal Ltd. Şti.,Metal ve Çelik,Eskişehir,Small,2018,29,8007661779,21408268.93,2624896.17,11,3,112.09,,117.18,116.83,3354,665,2022-11-07,2025-02-27,30,False,0.16,0.82,False,False,,,False,False,2025-Q1,True
SUP020,Ülker Bilgin Kauçuk Tic.,Plastik ve Kauçuk,Kocaeli,Small,1986,44,1531003305,22212953.85,,12,6,244.83,,228.75,230.63,1988,216,2017-11-16,2024-10-15,45,False,0.24,0.55,True,True,False,True,False,False,2025-Q2,True
SUP062,Ülker Kauçuk Ltd. Şti.,Plastik ve Kauçuk,Adana,Micro,2010,6,6625881534,,442075.1,20,8,131.18,134.53,122.03,121.91,2442,222,2018-10-31,2024-12-18,90,False,,0.56,False,True,False,True,,False,2025-Q4,True
SUP079,Şafak Nakliyat Tic.,Lojistik,İstanbul,Small,1994,11,5899622355,,9499698.4,51,14,137.47,135.27,149.82,151.83,6386,764,2018-05-05,2026-02-03,45,False,0.11,0.71,False,True,False,,False,False,2025-Q1,False
SUP006,Tevetoğlu Otomotiv Tic.,Otomotiv Yan Sanayi,Eskişehir,Small,2008,38,9713315090,21555231.8,2900517.76,58,20,312.14,358.28,354.14,360.55,9227,1251,2020-08-25,,45,False,0.21,0.55,False,,False,True,False,False,2025-Q1,True
SUP046,Gül Çelik Ltd. Şti.,Metal ve Çelik,Manisa,Micro,2002,9,2883552317,9237812.64,776700.8,9,5,198.67,158.66,190.47,,3797,985,2016-11-20,2026-02-20,45,False,0.22,0.33,True,False,False,True,,False,2025-Q4,True
SUP075,Soylu San. ve Tic. A.Ş.,İnşaat Malzemeleri,İzmir,Large,1962,712,1690331198,2558831511.76,10612202.81,424,157,4183.04,4155.43,3769.61,3253.1,199975,24635,2021-06-06,2026-02-11,30,True,,0.22,False,True,False,True,False,False,2025-Q4,True
SUP026,İhsanoğlu Tarhan Yapi Ltd. Şti.,İnşaat Malzemeleri,Kocaeli,Micro,2021,2,3328120679,2644027.8,538525.61,25,4,137.04,133.06,125.27,131.83,5252,949,2021-03-26,2026-03-09,,False,0.2,0.47,False,True,False,True,False,False,2025-Q2,True
SUP077,Çetin Güçlü Ambalaj Tic.,Ambalaj,Adana,Small,2014,13,9668826348,70420827.23,14286766.95,13,5,372.08,379.17,378.44,377.05,6142,483,2024-09-25,2025-03-17,45,False,0.13,0.99,False,True,True,True,False,False,2025-Q1,True
SUP085,Şafak Kimyasal Ürünler Tic.,Kimya,Sakarya,Micro,2012,2,9398262248,1471198.43,112089.39,19,4,152.76,152.82,,157.13,3048,708,2024-04-28,2024-12-27,60,False,0.27,0.42,False,True,False,False,False,,2025-Q1,True
SUP004,Şafak Türk Lojistik Ltd. Şti.,Lojistik,,Small,1989,34,7978480182,48559044.46,7690647.61,44,18,256.11,268.74,270.14,265.29,4804,773,2018-03-04,2025-12-12,60,False,0.27,,False,True,True,True,False,False,2025-Q1,True
SUP074,Yüksel Ambalaj Tic.,Ambalaj,Sakarya,Micro,2005,3,7567661829,4261512.74,1340253.51,26,9,146.11,143.79,156.09,142.33,2599,254,2017-11-24,2025-10-14,60,False,0.12,0.46,False,True,,False,False,False,2025-Q2,True
SUP059,Durdu Akça Ambalaj Tic.,Ambalaj,Manisa,Small,1996,33,9316237056,16664683.53,1080575.55,20,3,68.52,79.49,78.96,87.88,2339,503,,2026-07-23,60,False,,0.44,False,False,False,False,False,False,2025-Q3,False
SUP047,Akgündüz İçecek Tic.,Gıda ve İçecek,Ankara,Micro,2015,8,5490581475,7842056.85,1554570.98,29,,37.31,38.14,39.24,39.18,717,137,2018-08-22,,90,True,0.17,0.28,False,True,False,True,False,False,2025-Q1,True
SUP061,Erdoğan Elektronik Grup A.Ş.,Elektronik,Eskişehir,Large,,2728,6900106439,6921535943.09,177595371.17,328,,4548.31,4506.77,4223.01,5093.41,584852,64725,2024-12-16,2026-06-05,90,True,0.06,0.05,False,True,True,True,,False,2025-Q4,False
SUP032,Aslan Erdoğan İplik San. ve Tic. A.Ş.,Tekstil,İstanbul,Medium,1981,184,8026217457,,61169544.06,77,7,583.21,544.46,539.99,539.94,106731,9720,2022-01-22,,90,False,0.26,0.17,False,False,False,True,True,True,2025-Q4,True
SUP042,Demir Manço Oto Yedek Parça Ltd. Şti.,Otomotiv Yan Sanayi,Manisa,Small,2004,32,2983273157,77013007.23,8959073.88,16,3,182.03,,198.51,248.94,2410,187,2017-06-29,2026-07-10,60,True,0.13,0.23,False,,False,True,False,False,2025-Q4,True
SUP074,Yüksel Ambalaj Tic.,Ambalaj,Sakarya,Micro,,3,7567661829,4261512.74,1256873.38,26,10,151.57,154.78,155.91,146.78,2624,326,2017-11-24,2025-10-14,60,False,,,False,True,True,False,False,False,2025-Q1,True
SUP034,Şensoy Soylu Mobilya Tic.,Mobilya,Balıkesir,Small,2014,28,9217594648,25756241.96,4226295.2,53,12,97.78,93.65,85.74,77.73,13484,2519,2022-01-17,2025-02-22,90,,0.16,0.09,False,True,False,,,,2025-Q1,True
SUP065,Duran Demir Çelik Ltd. Şti.,Metal ve Çelik,Tekirdağ,Small,2005,20,7949588879,55821026.46,6497369.75,47,14,81.9,80.94,65.14,76.47,2911,469,2020-04-18,2026-09-01,60,False,0.13,0.41,True,False,False,True,False,False,2025-Q4,True
SUP013,Çorlu İnşaat Malzemeleri San. Tic. Ltd. Şti.,İnşaat Malzemeleri,Şanlıurfa,Medium,,147,1733754337,936892914.12,136578307.61,108,19,231.98,259.88,202.82,241.64,120585,6095,2022-06-02,,30,False,,0.25,False,,False,True,False,False,2025-Q3,True
SUP034,Şensoy Soylu Mobilya Tic.,Mobilya,Balıkesir,Small,2014,28,9217594648,,4732091.38,47,13,91.49,90.75,77.69,87.97,15443,2438,2022-01-17,2025-02-22,90,False,0.16,0.11,False,True,False,True,False,False,2025-Q3,True
SUP083,Bilge Sakarya Mobilya San. ve Tic. A.Ş.,Mobilya,Gaziantep,Medium,,194,4968562187,166913253.93,23298064.68,100,22,108.11,103.9,104.42,101.49,45532,8815,2022-06-19,2026-05-24,60,True,0.08,,False,True,True,True,False,False,2025-Q1,True
SUP064,Tevetoğlu Şafak Mobilya Tic.,Mobilya,Ankara,Small,2009,,8849912163,58302167.44,12615301.74,51,9,190.39,192.22,192.26,197.3,11518,1359,2025-09-01,2026-07-19,60,False,0.22,0.85,False,True,False,True,False,False,2025-Q1,True
SUP028,Ertaş Kısakürek Taşımacılık Holding A.Ş.,Lojistik,İzmir,Large,1986,414,3787429673,,315882185.87,390,82,,2211.5,2440.09,1953.42,570089,146593,2020-11-09,,30,True,0.12,0.55,False,True,False,True,False,False,2025-Q3,True
SUP058,Yorulmaz Çelik San. ve Tic. A.Ş.,Metal ve Çelik,Denizli,Medium,1976,238,3786814479,129146791.58,4065714.43,86,21,1094.42,1213.9,1153.58,1170.15,60181,4577,2021-12-03,2025-03-14,45,False,0.12,0.48,False,True,False,False,True,,2025-Q1,True
SUP078,Sakarya Ambalaj Tic.,Ambalaj,Denizli,Micro,2009,1,4317393637,8379359.71,570146.91,17,8,113.11,,106.77,105.38,947,62,2023-08-14,2025-02-04,60,False,0.13,0.48,False,True,True,False,False,False,2025-Q4,True
SUP081,Gül Yorulmaz Konfeksiyon Ltd. Şti.,Tekstil,Samsun,Small,2012,21,2182339848,65486742.5,10580420.79,44,2,231.46,238.01,251.4,249.12,10952,897,2024-08-20,,60,False,0.16,0.38,False,False,False,False,False,False,2025-Q4,True
SUP046,Gül Çelik Ltd. Şti.,Metal ve Çelik,Manisa,Micro,2002,9,2883552317,9237812.64,706128.83,10,4,165.76,167.71,174.85,173.91,3869,718,2016-11-20,2026-02-20,45,False,0.28,0.42,False,False,False,True,False,False,2025-Q1,True
SUP051,İnönü Akçay Mobilya San. ve Tic. A.Ş.,Mobilya,Şanlıurfa,Medium,2005,99,6977468862,139323185.16,9279358.96,139,40,908.27,854.0,852.35,665.6,31257,8964,2021-03-04,2025-10-03,45,False,0.18,0.31,True,True,False,True,False,True,2025-Q4,True
SUP052,Sakarya Gida San. ve Tic. A.Ş.,Gıda ve İçecek,İstanbul,Medium,2003,139,1606853619,886705250.55,71479916.81,54,25,779.2,800.18,751.11,832.74,19273,959,2025-04-30,2026-08-19,60,True,0.09,0.35,,True,False,True,False,True,2025-Q4,True
SUP063,Aksu Eraslan Gida Tic.,Gıda ve İçecek,Bursa,Small,2016,29,8016873386,44573485.02,7295409.15,18,9,139.76,,124.54,125.17,1243,120,2024-10-11,2025-11-11,60,,0.3,0.12,False,True,True,True,False,False,2025-Q4,False
SUP004,Şafak Türk Lojistik Ltd. Şti.,Lojistik,Mersin,Small,1989,34,7978480182,48559044.46,7774538.21,45,14,295.04,294.83,,256.86,4887,740,2018-03-04,,60,False,0.45,0.68,False,True,True,False,False,True,2025-Q3,True
SUP039,Zengin Gülen Mobilya San. Tic. Ltd. Şti.,Mobilya,Manisa,Medium,1975,120,3284210201,319212007.45,9579568.85,48,10,1092.12,1092.65,1006.0,1175.77,17033,45,2023-12-25,2026-08-08,60,False,0.04,0.54,False,False,False,True,False,False,2025-Q3,True
SUP073,Şama Elektronik San. Tic. Ltd. Şti.,Elektronik,Gaziantep,Medium,2003,79,4971870724,636233018.98,76495502.54,137,0,761.93,708.24,685.81,717.55,42435,7390,2017-03-24,2026-07-09,90,False,0.1,0.38,False,True,False,True,True,,2025-Q1,True
SUP076,Yaman Gül İplik San. ve Tic. A.Ş.,Tekstil,Diyarbakır,Medium,1995,,5283644089,495066530.34,42361047.52,71,,111.83,114.76,120.99,103.83,107064,9461,2020-05-03,2025-11-02,45,False,0.09,0.51,,True,False,True,False,False,2025-Q1,True
SUP017,Kısakürek Mobilya San. ve Tic. A.Ş.,Mobilya,Bursa,Medium,1982,166,3788957982,544939452.11,24063339.08,64,21,826.44,790.82,780.69,795.25,104155,7464,2018-10-25,2026-08-27,90,False,0.23,0.26,False,False,False,True,True,False,2025-Q1,True
SUP067,Akçay İnşaat Malzemeleri Tic.,İnşaat Malzemeleri,Tekirdağ,Small,2014,44,6854973341,79747507.16,18542460.44,54,6,189.65,177.74,183.46,196.51,3840,622,2023-01-17,2025-08-16,60,False,0.19,0.64,False,True,True,False,False,False,2025-Q1,True
SUP030,Hayrioğlu Karadeniz Lojistik Ltd. Şti.,Lojistik,Denizli,Small,2014,17,3748467739,72842502.62,3823504.01,17,7,178.53,209.26,238.89,250.53,4869,121,2020-06-05,,,False,0.15,0.22,False,True,False,True,False,False,2025-Q2,True
SUP008,Dumanlı Zengin Otomotiv Ltd. Şti.,Otomotiv Yan Sanayi,Van,Small,2000,20,7773602601,,6186780.21,25,7,93.9,89.88,99.94,102.78,3639,388,2023-10-30,2025-02-28,90,False,0.09,0.8,False,True,False,,False,False,2025-Q1,True
SUP053,Şener Otomotiv Ltd. Şti.,Otomotiv Yan Sanayi,Çorum,Small,1994,45,9614341038,23144437.61,904941.04,52,10,153.31,146.79,147.35,137.68,11018,699,2021-10-08,,90,False,0.14,0.44,False,True,False,True,False,False,2025-Q2,True
SUP074,Yüksel Ambalaj Tic.,Ambalaj,Sakarya,Micro,2005,3,7567661829,4261512.74,,25,,143.88,145.49,,143.05,2433,243,2017-11-24,,60,False,,0.69,False,True,True,,False,False,2025-Q4,True
SUP048,Şensoy Şama Kimya Tic.,Kimya,Ankara,Small,1994,13,8151820371,86976403.43,,13,2,350.86,357.45,377.6,339.81,11053,573,2021-03-25,2026-04-29,90,,0.15,0.4,False,True,False,True,False,False,2025-Q4,True
SUP044,Kısakürek Tevetoğlu Çelik Tic.,Metal ve Çelik,Sakarya,Small,2002,,9156149784,94726668.16,15339854.71,33,3,127.78,155.6,129.86,,13304,2511,2017-10-09,,60,True,0.17,0.33,False,False,True,False,False,False,2025-Q4,True
SUP078,Sakarya Ambalaj Tic.,Ambalaj,Denizli,Micro,2009,1,4317393637,8379359.71,548521.17,16,8,115.37,106.93,107.69,114.03,857,35,2023-08-14,2025-02-04,60,False,0.26,,False,True,True,False,False,,2025-Q1,True
SUP061,Erdoğan Elektronik Grup A.Ş.,Elektronik,Eskişehir,Large,1989,2728,6900109439,6921535943.09,,281,49,4712.89,4269.82,4457.8,5230.22,602704,71422,2024-12-16,2026-06-05,90,,0.06,,False,,,,False,False,2025-Q2,True
SUP029,Sener Sezer Celik Ltd. Şti.,Metal ve Çelik,Tekirdağ,Small,,10,9760385974,39682329.72,6970724.41,47,9,334.39,331.99,386.03,432.0,2140,251,2021-04-14,2026-08-29,90,False,0.22,0.5,False,True,,True,False,False,2025-Q3,True
SUP085,Şafak Kimyasal Ürünler Tic.,Kimya,Sakarya,Micro,2012,2,9398262248,1471198.43,123925.82,18,3,165.69,165.26,159.62,,3414,813,2024-04-28,2024-12-27,60,False,0.27,0.51,,True,False,True,False,False,2025-Q3,True
SUP061,Erdoğan Elektronik Grup A.Ş.,Elektronik,,Large,1989,2728,6900109439,6921535943.09,164700703.74,277,63,4521.08,4479.72,4670.04,4938.12,624103,86701,2024-12-16,2026-06-05,90,True,0.09,0.04,False,True,False,True,False,True,2025-Q1,True
SUP017,Kısakürek Mobilya San. ve Tic. A.Ş.,Mobilya,Bursa,Medium,,166,3788957982,544939452.11,24567850.21,61,23,884.48,744.55,732.65,745.25,105264,,2018-10-25,2026-08-27,90,False,0.26,0.21,False,False,False,True,True,False,2025-Q2,True
SUP018,Arslan İçecek Ltd. Şti.,Gıda ve İçecek,Konya,Small,1990,18,3362316656,33327239.36,2440107.64,47,18,198.16,264.3,216.12,223.52,15045,1240,2018-01-12,2025-11-12,90,False,,0.17,False,True,False,False,False,True,2025-Q4,True
SUP010,Sezgin Mobilya Holding A.Ş.,Mobilya,Konya,Large,,547,1795118380,5335670572.32,177758430.32,223,10,2840.31,,2802.23,3015.57,649956,95956,2016-10-20,2026-04-22,60,True,0.12,,False,True,False,True,False,True,2025-Q2,False
SUP030,Hayrioğlu Karadeniz Lojistik Ltd. Şti.,Lojistik,Denizli,Small,2014,17,3748467739,72842502.62,3753814.48,15,6,166.07,225.8,255.5,233.25,5291,93,2020-06-05,2026-02-23,,False,0.17,0.26,False,True,False,True,False,,2025-Q3,True
SUP063,Aksu Eraslan Gıda Tic.,Gıda ve İçecek,Bursa,Small,2016,29,8016873396,44573485.02,7357351.34,17,7,129.84,144.89,124.87,137.77,1303,96,2024-10-11,2025-11-11,60,True,0.34,0.13,False,True,True,True,False,False,2025-Q2,True
SUP018,Arslan İcecek Ltd. Şti.,Gıda ve İçecek,Konya,Small,1990,18,3362316656,33327239.36,2812577.12,57,23,200.53,227.91,233.47,227.42,14614,896,2018-01-12,2025-11-12,90,False,0.24,0.26,False,True,False,True,False,True,2025-Q1,True
SUP025,Ülker Kimya Ltd. Şti.,Kimya,Kocaeli,Small,1992,14,7719022941,72767565.36,4204618.24,12,3,225.0,219.42,208.51,201.69,1393,155,2022-09-26,2025-02-19,30,False,0.19,0.53,,True,False,True,False,False,2025-Q1,True
SUP021,Akdeniz Bilgin Otomotiv Tic.,Otomotiv Yan Sanayi,Manisa,Small,2010,22,2931491901,33061932.69,4162165.11,43,6,234.37,237.66,187.7,157.48,3773,813,2021-08-13,2024-11-10,60,False,0.23,,False,True,False,True,False,False,2025-Q4,True
SUP059,Durdu Akça Ambalaj Tic.,Ambalaj,Manisa,Small,1996,33,9313237056,,1042081.74,22,3,74.35,84.4,,81.81,2336,504,2020-10-15,2026-07-23,60,False,0.31,0.37,False,False,False,True,False,False,2025-Q2,True
SUP053,Şener Otomotiv Ltd. Şti.,Otomotiv Yan Sanayi,Çorum,Small,1994,45,9614341038,23144437.61,816355.96,54,8,165.17,150.96,144.98,143.25,12044,675,2021-10-08,2026-06-25,90,False,0.12,0.44,False,True,False,True,False,False,2025-Q3,True
SUP081,Gül Yorulmaz Konfeksiyon Ltd. Şti.,Tekstil,Samsun,Small,,21,2182339848,65486742.5,10009228.29,47,2,244.09,238.03,232.93,235.93,10915,808,2024-08-20,2026-07-12,60,False,0.18,0.36,False,False,False,False,False,False,2025-Q3,True
SUP014,Ergül Kimyasal Ürünler Ltd. Şti.,Kimya,Mersin,Small,2007,30,7981693409,67733356.47,8413123.65,15,5,107.1,122.39,114.07,115.68,12990,1221,2023-02-26,,90,True,0.27,0.44,False,True,False,False,,False,2025-Q4,True
SUP042,Demir Manço Oto Yedek Parça Ltd. Şti.,Otomotiv Yan Sanayi,Manisa,Small,2004,32,2983273157,77013007.23,8175082.25,16,3,193.54,177.95,195.37,234.58,2408,198,2017-06-29,2026-07-10,,True,0.1,0.2,False,False,False,True,,False,2025-Q3,True
SUP078,Sakarya Ambalaj Tic.,Ambalaj,Denizli,Micro,2009,1,4317393637,8379359.71,596354.72,17,8,104.96,103.06,100.82,105.54,863,51,2023-08-14,2025-02-04,60,False,0.15,0.46,False,True,True,False,False,False,2025-Q3,True
SUP068,Demir Yüksel Kimyasal Ürünler San. ve Tic. A.Ş.,Kimya,Balıkesir,Large,1959,1439,1415747331,5934917818.18,165360549.81,250,32,1068.68,1098.49,1016.24,1180.17,772473,66956,2025-07-01,2025-08-26,60,False,0.11,0.06,False,True,False,,True,False,2025-Q2,True
SUP040,Yaman Zorlu Metal Ltd. Şti.,Metal ve Çelik,Eskişehir,Small,2018,29,8007661779,21408268.93,2459320.81,10,3,111.09,132.54,122.38,127.43,3114,788,2022-11-07,2025-02-27,30,False,0.18,0.7,False,,False,True,False,False,2025-Q3,True
SUP020,Ülker Bilgin Kauçuk Tic.,Plastik ve Kauçuk,Kocaeli,Small,1986,,1531003305,22212953.85,2922639.59,11,5,,260.01,235.06,215.76,1875,183,2017-11-16,2024-10-15,45,False,,0.47,True,True,False,,False,False,2025-Q1,True
SUP025,Ülker Kimya Ltd. Şti.,Kimya,Kocaeli,Small,1992,,7719022941,72767565.36,4005178.47,10,2,217.38,212.23,210.62,199.26,1509,153,2022-09-26,2025-02-19,30,False,0.16,0.36,False,True,False,True,False,False,2025-Q3,True
SUP080,Seven Ambalaj San. ve Tic. A.Ş.,Ambalaj,Konya,Medium,,184,1100623127,403807855.63,47193220.98,110,13,1108.3,1046.96,1148.44,1126.23,95800,6056,2022-09-20,2025-08-05,30,True,0.14,0.48,False,True,,True,False,False,2025-Q1,True
