supplier_id,company_name,sector,city,company_size,delivery_delay_rate,price_volatility,supplier_dependency_ratio,quality_return_rate,delivery_delay_rate_score,price_volatility_score,supplier_dependency_ratio_score,quality_return_rate_score,risk_score,risk_level,has_estimated_inputs
SUP018,Şener Mansız Çelik Tic.,Metal ve Çelik,Denizli,Micro,0.3846,0.0626,0.0003,0.0419,70.7,45.6,0.1,5.8,37.0,Medium,True
SUP066,Duran İnönü Oto Yedek Parça Ltd. Şti.,Otomotiv Yan Sanayi,Adana,Small,0.1905,0.1089,0.0037,0.1448,35.0,80.4,2.3,20.2,36.0,Medium,False
SUP074,Zorlu Yüksel Makine İmalat Tic.,Makine İmalat,Şanlıurfa,Small,0.2895,0.0793,0.0057,0.0824,53.2,58.2,3.5,11.5,35.8,Medium,False
SUP078,Sakarya Makine San. ve Tic. A.Ş.,Makine İmalat,Antalya,Large,0.2435,0.038,0.0611,0.1118,44.8,27.0,38.5,15.6,34.4,Medium,True
SUP085,Safak Akcay İcecek Tic.,Gıda ve İçecek,Ankara,Small,0.4167,0.0157,0.0031,0.186,76.6,10.2,1.9,26.0,33.7,Medium,True
SUP004,Safak Karton Ltd. Şti.,Ambalaj,Kocaeli,Small,0.3824,0.0309,0.0034,0.1459,70.3,21.7,2.1,20.4,33.6,Medium,False
SUP062,Duran Öcalan Mobilya San. ve Tic. A.Ş.,Mobilya,Ankara,Medium,0.3617,0.0433,0.0091,0.04,66.5,31.0,5.7,5.5,33.3,Medium,False
SUP076,Yaman Gül Taşımacılık Tic.,Lojistik,İzmir,Small,0.2941,0.0545,0.0019,0.1823,54.1,39.4,1.1,25.5,32.9,Medium,True
SUP001,Korutürk Aslan İplik San. Tic. Ltd. Şti.,Tekstil,Kocaeli,Medium,0.2836,0.0602,0.0018,0.1432,52.1,43.8,1.1,20.0,32.5,Medium,False
SUP030,Hayrioğlu Karadeniz Makine İmalat San. ve Tic. A.Ş.,Makine İmalat,Bursa,Medium,0.3333,0.0491,0.0069,0.054,61.3,35.4,4.3,7.5,32.5,Medium,False
SUP042,Şener Aksu Makine İmalat Tic.,Makine İmalat,Tekirdağ,Small,0.3684,0.0323,0.0015,0.1369,67.7,22.7,0.9,19.1,32.5,Medium,False
SUP010,Sezgin Yapı Ltd. Şti.,İnşaat Malzemeleri,Denizli,Small,0.3333,0.0323,0.0057,0.2075,61.3,22.8,3.5,29.1,32.4,Medium,False
SUP068,Akçay Fırat Karton Tic.,Ambalaj,Sakarya,Micro,0.381,0.0225,0.0001,0.1875,70.0,15.4,0.0,26.2,32.3,Medium,True
SUP072,Sener Yorulmaz Karton Tic.,Ambalaj,Aydın,Micro,0.3333,0.047,0.0008,0.1039,61.3,33.8,0.5,14.5,32.2,Medium,True
SUP061,Gül Soylu Gıda San. Tic. Ltd. Şti.,Gıda ve İçecek,Sakarya,Medium,0.3286,0.0398,0.0086,0.0825,60.4,28.4,5.4,11.5,31.3,Medium,False
SUP003,Korutürk Akçay Çelik San. Tic. Ltd. Şti.,Metal ve Çelik,Konya,Medium,0.2655,0.0667,0.0019,0.0732,48.8,48.6,1.2,10.2,31.1,Medium,False
SUP081,Şensoy Karton Tic.,Ambalaj,Adana,Small,0.4348,0.0048,0.0024,0.0683,79.9,2.0,1.4,9.5,30.3,Low,False
SUP077,Çetin Güçlü Makine San. Tic. Ltd. Şti.,Makine İmalat,Bursa,Medium,0.2077,0.0697,0.0217,0.0192,38.2,50.9,13.6,2.6,29.9,Low,False
SUP005,Çorlu Bilir Nakliyat Ltd. Şti.,Lojistik,Kayseri,Small,0.1818,0.0715,0.0025,0.2219,33.4,52.3,1.5,31.1,29.8,Low,False
SUP016,Ertaş Holding A.Ş.,Makine İmalat,Adana,Large,0.1932,0.0487,0.0547,0.0009,35.5,35.1,34.4,0.0,29.8,Low,False
SUP055,Öcalan Kauçuk Tic.,Plastik ve Kauçuk,Ankara,Small,0.1724,0.0648,0.006,0.2303,31.7,47.2,3.7,32.3,28.7,Low,False
SUP015,Eraslan Makine İmalat San. Tic. Ltd. Şti.,Makine İmalat,Mersin,Medium,0.253,0.036,0.023,0.1052,46.5,25.5,14.5,14.7,28.5,Low,False
SUP079,Şafak Makine Tic.,Makine İmalat,Denizli,Micro,0.25,0.0437,0.0002,0.2181,46.0,31.3,0.1,30.5,28.5,Low,False
SUP036,Eraslan Yaman Makine San. ve Tic. A.Ş.,Makine İmalat,Manisa,Medium,0.2637,0.0492,0.0038,0.0963,48.5,35.5,2.3,13.4,28.4,Low,False
SUP027,Şener Aksu Elektronik Ltd. Şti.,Elektronik,Konya,Micro,0.1053,0.0988,0.0002,0.126,19.4,72.8,0.0,17.6,27.6,Low,False
SUP025,Ergül Bilir Ambalaj Tic.,Ambalaj,Tekirdağ,Small,0.2727,0.0355,0.0028,0.1519,50.1,25.1,1.7,21.2,27.4,Low,False
SUP028,Ertaş Kısakürek Oto Yedek Parça San. Tic. Ltd. Şti.,Otomotiv Yan Sanayi,Denizli,Medium,0.3333,0.013,0.0095,0.0799,61.3,8.2,5.9,11.1,26.7,Low,False
SUP006,Tevetoğlu Kimyasal Ürünler Tic.,Kimya,Mersin,Small,0.2222,0.05,0.0032,0.1374,40.9,36.1,1.9,19.2,26.7,Low,True
SUP060,Durdu Makine İmalat San. Tic. Ltd. Şti.,Makine İmalat,Gaziantep,Medium,0.2326,0.0431,0.0046,0.1471,42.8,30.9,2.8,20.6,26.5,Low,True
SUP067,Hançer Gülen Karton Tic.,Ambalaj,Sakarya,Small,0.2727,0.0283,0.0026,0.1566,50.1,19.7,1.6,21.9,26.1,Low,False
SUP009,Bilge Makine Ltd. Şti.,Makine İmalat,İzmir,Micro,0.2,0.0538,0.0009,0.1512,36.8,38.9,0.5,21.1,25.9,Low,False
SUP084,Akar Lojistik Tic.,Lojistik,Denizli,Small,0.2963,0.0251,0.0013,0.0791,54.5,17.3,0.8,11.0,25.2,Low,False
SUP071,Bilgin Yılmaz Kauçuk Ltd. Şti.,Plastik ve Kauçuk,Sakarya,Small,0.2647,0.0242,0.0008,0.1696,48.7,16.6,0.4,23.7,24.9,Low,False
SUP080,Seven Ertaş Mobilya San. Tic. Ltd. Şti.,Mobilya,Sakarya,Medium,0.241,0.0389,0.0062,0.0742,44.3,27.7,3.8,10.3,24.9,Low,False
SUP022,Bilgin Bilge Oto Yedek Parça Ltd. Şti.,Otomotiv Yan Sanayi,Denizli,Micro,0.2759,0.0313,0.0007,0.0567,50.7,22.0,0.4,7.8,24.5,Low,False
SUP007,Akar Demirel Lojistik San. ve Tic. A.Ş.,Lojistik,Çorum,Medium,0.2014,0.0402,0.0165,0.0731,37.0,28.7,10.3,10.1,24.2,Low,False
SUP069,Yüksel Gıda San. ve Tic. A.Ş.,Gıda ve İçecek,İstanbul,Medium,0.2456,0.0119,0.0299,0.0533,45.2,7.3,18.8,7.4,23.4,Low,True
SUP035,Çamurcuoğlu Makine İmalat Ltd. Şti.,Makine İmalat,Konya,Small,0.2143,0.0343,0.0004,0.1559,39.4,24.3,0.2,21.8,23.2,Low,False
SUP064,Aksu Eraslan Kauçuk Tic.,Plastik ve Kauçuk,Eskişehir,Micro,0.28,0.0074,0.0001,0.1925,51.5,4.0,0.0,26.9,23.1,Low,True
SUP013,Çorlu Oto Yedek Parça Tic.,Otomotiv Yan Sanayi,Trabzon,Small,0.2609,0.0079,0.0002,0.233,48.0,4.3,0.1,32.6,22.8,Low,True
SUP033,Bilir Ambalaj Ltd. Şti.,Ambalaj,Kayseri,Micro,0.25,0.0282,0.0001,0.0772,46.0,19.7,0.0,10.7,22.6,Low,False
SUP046,Gül Plastik San. Tic. Ltd. Şti.,Plastik ve Kauçuk,İstanbul,Medium,0.0956,0.0768,0.0068,0.0635,17.6,56.3,4.2,8.8,22.6,Low,False
SUP054,Arsoy İnönü İnşaat Malzemeleri San. Tic. Ltd. Şti.,İnşaat Malzemeleri,Kocaeli,Medium,0.129,0.0607,0.0164,0.0055,23.7,44.2,10.3,0.6,22.0,Low,False
SUP065,Tevetoğlu Şafak Demir Çelik Ltd. Şti.,Metal ve Çelik,Mersin,Small,0.1667,0.0498,0.0078,0.0472,30.6,35.9,4.9,6.5,21.9,Low,False
SUP011,Şafak Lojistik Ltd. Şti.,Lojistik,İzmir,Micro,0.25,0.0188,0.0001,0.0837,46.0,12.6,0.0,11.6,21.0,Low,False
SUP056,Hayrioğlu Mobilya San. Tic. Ltd. Şti.,Mobilya,Samsun,Medium,0.2119,0.0214,0.0057,0.1356,39.0,14.5,3.5,18.9,21.0,Low,False
SUP044,Tevetoğlu İnşaat Malzemeleri San. ve Tic. A.Ş.,İnşaat Malzemeleri,Eskişehir,Medium,0.1513,0.0524,0.0091,0.0157,27.8,37.8,5.7,2.1,20.9,Low,True
SUP024,Karadeniz Arsoy İnsaat Malzemeleri Ltd. Şti.,İnşaat Malzemeleri,Van,Micro,0.1333,0.0462,0.0001,0.1758,24.5,33.2,0.0,24.6,20.6,Low,False
SUP059,Yorulmaz Nakliyat Ltd. Şti.,Lojistik,,Small,0.2692,0.0021,0.0029,0.1002,49.5,0.0,1.8,14.0,19.9,Low,True
SUP057,Demir Yapı Ltd. Şti.,İnşaat Malzemeleri,Van,Small,0.1026,0.0438,0.0032,0.2173,18.9,31.4,1.9,30.4,19.5,Low,True
SUP049,Şafak Aksu Elektrik Ltd. Şti.,Elektronik,Mersin,Micro,0.1818,0.0331,0.0004,0.0784,33.4,23.4,0.2,10.9,19.2,Low,False
SUP014,Ergül Akdeniz Kimya Tic.,Kimya,Trabzon,Small,0.1111,0.032,0.0033,0.2514,20.4,22.5,2.0,35.2,18.6,Low,True
SUP053,Şener Zorlu İçecek Tic.,Gıda ve İçecek,Gaziantep,Small,0.0714,0.0569,0.0033,0.0919,13.1,41.3,2.0,12.8,17.3,Low,False
SUP008,Dumanlı Grup A.Ş.,Gıda ve İçecek,Eskişehir,Large,0.1021,0.0135,0.0272,0.1744,18.8,8.6,17.1,24.4,16.7,Low,False
SUP039,Bilgin Elektronik San. Tic. Ltd. Şti.,Elektronik,Denizli,Medium,0.0769,0.044,0.0025,0.16,14.1,31.5,1.5,22.4,16.6,Low,True
SUP019,Akar Kimya Tic.,Kimya,Eskişehir,Small,0.0833,0.0385,0.0039,0.1714,15.3,27.4,2.4,24.0,16.4,Low,False
SUP041,Yorulmaz Bilge Elektronik Tic.,Elektronik,Trabzon,Small,0.1481,0.019,0.002,0.1523,27.2,12.7,1.2,21.3,16.2,Low,True
SUP050,Gül Akgündüz Kauçuk Ltd. Şti.,Plastik ve Kauçuk,Mersin,Small,0.0,0.0828,0.0005,0.0121,0.0,60.8,0.3,1.6,15.5,Low,False
SUP002,Yaman Tekstil Tic.,Tekstil,Manisa,Small,0.0862,0.0294,0.0014,0.1979,15.9,20.6,0.8,27.7,15.1,Low,False
SUP043,Erdoğan İnşaat Malzemeleri San. Tic. Ltd. Şti.,İnşaat Malzemeleri,Şanlıurfa,Medium,0.0962,0.022,0.0032,0.2144,17.7,15.0,1.9,30.0,14.9,Low,True
SUP023,Aslan Karton San. Tic. Ltd. Şti.,Ambalaj,Ankara,Medium,0.0309,0.0468,0.0032,0.1252,5.7,33.6,1.9,17.5,13.5,Low,True
SUP021,Arslan Metal San. Tic. Ltd. Şti.,Metal ve Çelik,,Medium,0.0588,0.0353,0.0055,0.0422,10.8,25.0,3.4,5.8,11.8,Low,False
SUP051,İnönü Akçay Gıda Tic.,Gıda ve İçecek,Denizli,Small,0.0333,0.0265,0.0018,0.1646,6.1,18.4,1.1,23.0,10.5,Low,False
SUP032,Hayrioğlu Gülen Kimyasal Ürünler San. Tic. Ltd. Şti.,Kimya,Denizli,Medium,0.0,0.0505,0.0031,0.0291,0.0,36.4,1.9,4.0,10.2,Low,False
SUP083,Bilge Sakarya Mobilya Ltd. Şti.,Mobilya,Malatya,Small,0.0,0.0222,0.0041,0.2603,0.0,15.2,2.6,36.5,9.9,Low,True
SUP020,Ülker Yapi San. ve Tic. A.Ş.,İnşaat Malzemeleri,Mersin,Medium,0.0317,0.0147,0.0112,0.1297,5.8,9.5,7.0,18.1,8.9,Low,False
SUP048,Şensoy Şama Mobilya San. Tic. Ltd. Şti.,Mobilya,Denizli,Medium,0.0,0.0256,0.0149,0.0728,0.0,17.7,9.3,10.1,8.3,Low,False
