supplier_id,company_name,sector,city,company_size,founded_year,employee_count,vkn,supplier_annual_revenue_tl,annual_purchase_volume_tl,total_orders_last_year,late_orders_last_year,price_q1,price_q2,price_q3,price_q4,units_shipped_last_year,units_returned_last_year,contract_start_date,last_audit_date,payment_terms_days,iso_certified,overdue_debt_ratio,debt_to_revenue_ratio,payment_default_last_3y,has_export_documentation,requires_full_upfront_payment,site_visit_verified,exports_to_eu,has_emissions_reporting_capability,period
SUP040,Yaman Zorlu Metal Ltd. Şti.,METAL VE ÇELIK,Eskişehir,küçük,2018,29.0,8007661779,21408268.93,2624896.17,11,3.0,"112,09",,117.18,116.83,3354,665.0,2022-11-07,27.02.2025,30.0,0,"0,16","0,82",hayır,HAYIR,,,false,0,2025-Q1
SUP020,Ülker Bilgin Kauçuk Tic.,Plastik ve Kauçuk,kocaeli,KÜÇÜK,1986,44.0,1531003305,22212953.85,,12,6.0,"244,83",,"228,75","230,63",1988,216.0,16-11-17,2024-10-15,45.0,false,"0,24",0.55,evet,Yes,false,evet,No,false,2025-Q2
SUP062,ülker kauçuk ltd. şti.,plastik ve kauçuk,adana,Micro,2010,6.0,6625881534,,"442.075,10",20,8.0,"131,18",134.53,122.03,121.91,2442,222.0,31/10/2018,2024-12-18,90.0,No,,0.56,Hayır,Yes,Hayır,true,,Hayır,2025-Q4
SUP079,Şafak Nakliyat Tic.,lojistik,İSTANBUL,küçük,1994,11.0,5899622355,,"9.499.698,40",51,14.0,137.47,135.27,"149,82",151.83,6386,764.0,05/05/2018,03/02/2026,45.0,0,0.11,"0,71",false,true,hayır,,No,HAYIR,2025-Q1
SUP006,  Tevetoğlu Otomotiv Tic.  ,Otomotiv Yan Sanayi,ESKIŞEHIR,küçük,2008,38.0,9713315090,21555231.80,2900517.76,58,20.0,312.14,358.28,354.14,"360,55",9227,1251.0,25/08/2020,,45.0,hayır,"0,21",0.55,false,,HAYIR,Evet,0,No,2025-Q1
SUP046,Gül Çelik Ltd. Şti.,  Metal ve Çelik  ,Manisa,mikro,2002,9.0,2883552317,"9.237.812,64","776.700,80",9,5.0,"198,67","158,66",190.47,,3797,985.0,20.11.2016,20-02-26,45.0,0,"0,22",0.33,EVET,false,No,Yes,,false,2025-Q4
SUP075,Soylu San. ve Tic. A.Ş.,İnşaat Malzemeleri,İzmir,BÜYÜK,1962.0,712.0,1690331198,"2.558.831.511,76","10.612.202,81",424,157.0,4183.04,"4.155,43","3.769,61",3253.10,199975,24635.0,06-06-21,11-02-26,30.0,1,,0.22,No,evet,Hayır,1,false,Hayır,2025-Q4
SUP026,İHSANOĞLU TARHAN YAPI LTD. ŞTI.,i̇nşaat malzemeleri,KOCAELI,Mikro,2021,2.0,3328120679,2644027.80,538525.61,25,4.0,137.04,133.06,"125,27","131,83",5252,949.0,2021-03-26,09-03-26,,hayır,0.20,0.47,0,Yes,Hayır,Evet,0,0,2025-Q2
SUP077,Çetin Güçlü Ambalaj Tic.,Ambalaj,Adana,Small,2014.0,13.0,9668826348,70420827.23,"14.286.766,95",13,5.0,"372,08",379.17,378.44,"377,05",6142,483.0,25.09.2024,17/03/2025,45.0,HAYIR,0.13,0.99,false,true,Evet,evet,HAYIR,No,2025-Q1
SUP085,şafak kimyasal ürünler tic.,Kimya,sakarya,MİKRO,2012,2.0,9398262248,"1.471.198,43","112.089,39",19,4.0,"152,76",152.82,,157.13,3048,708.0,28.04.2024,27/12/2024,60.0,No,"0,27",0.42,No,Yes,HAYIR,false,No,,2025-Q1
SUP004,şafak türk lojistik ltd. şti.,lojistik,,Küçük,1989.0,34.0,7978480182,48559044.46,7690647.61,44,18.0,"256,11","268,74","270,14","265,29",4804,773.0,04.03.2018,12/12/2025,60.0,Hayır,"0,27",,0,Yes,evet,true,Hayır,Hayır,2025-Q1
SUP074,  Yüksel Ambalaj Tic.  ,Ambalaj,Sakarya,MİKRO,2005,3.0,7567661829,"4.261.512,74",1340253.51,26,9.0,146.11,143.79,156.09,"142,33",2599,254.0,2017-11-24,14.10.2025,60.0,hayır,"0,12","0,46",false,true,,0,hayır,HAYIR,2025-Q2
SUP059,Durdu Akça Ambalaj Tic.,Ambalaj,MANISA,Small,1996.0,33.0,9316237056,16664683.53,1080575.55,20,3.0,68.52,79.49,78.96,"87,88",2339,503.0,,23-07-26,60.0,false,,"0,44",HAYIR,HAYIR,false,0,hayır,No,2025-Q3
SUP047,Akgündüz İçecek Tic.,gıda ve i̇çecek,Ankara,Mikro,2015,8.0,5490581475,7842056.85,1554570.98,29,,37.31,38.14,"39,24","39,18",717,137.0,22/08/2018,,90.0,Yes,"0,17",0.28,HAYIR,1,Hayır,1,hayır,No,2025-Q1
SUP061,ERDOĞAN ELEKTRONIK GRUP A.Ş.,Elektronik,Eskişehir,BÜYÜK,,2728.0,6900106439,"6.921.535.943,09","177.595.371,17",328,,"4.548,31","4.506,77","4.223,01","5.093,41",584852,64725.0,16/12/2024,05.06.2026,90.0,EVET,0.06,0.05,HAYIR,Evet,Yes,1,,Hayır,2025-Q4
SUP032,Aslan Erdoğan İplik San. ve Tic. A.Ş.,Tekstil,İstanbul,orta,1981.0,184.0,8026217457,,61169544.06,77,7.0,583.21,"544,46","539,99",539.94,106731,9720.0,2022-01-22,,90.0,HAYIR,0.26,0.17,No,Hayır,Hayır,EVET,true,Yes,2025-Q4
SUP042,Demir Manço Oto Yedek Parça Ltd. Şti.,Otomotiv Yan Sanayi,Manisa,Küçük,2004.0,32.0,2983273157,"77.013.007,23",8959073.88,16,3.0,182.03,,198.51,"248,94",2410,187.0,29-06-17,10.07.2026,60.0,EVET,"0,13","0,23",hayır,,false,evet,No,Hayır,2025-Q4
SUP074,Yüksel Ambalaj Tic.,Ambalaj,Sakarya,MİKRO,,3.0,7567661829,4261512.74,1256873.38,26,10.0,"151,57","154,78",155.91,"146,78",2624,326.0,24-11-17,14/10/2025,60.0,hayır,,,hayır,1,1,0,false,HAYIR,2025-Q1
SUP034,  Şensoy Soylu Mobilya Tic.  ,mobilya,balıkesir,küçük,2014.0,28.0,9217594648,"25.756.241,96","4.226.295,20",53,12.0,"97,78",93.65,85.74,"77,73",13484,2519.0,2022-01-17,22-02-25,90.0,,0.16,"0,09",Hayır,EVET,hayır,,,,2025-Q1
SUP065,Duran Demir Çelik Ltd. Şti.,Metal ve Çelik,Tekirdağ,Small,2005,20.0,7949588879,55821026.46,6497369.75,47,14.0,81.90,"80,94",65.14,"76,47",2911,469.0,2020-04-18,01-09-26,60.0,hayır,0.13,0.41,Evet,Hayır,Hayır,Evet,No,No,2025-Q4
SUP013,Çorlu İnşaat Malzemeleri San. Tic. Ltd. Şti.,Insaat Malzemeleri,ŞANLIURFA,orta,,147.0,1733754337,936892914.12,136578307.61,108,19.0,231.98,259.88,202.82,241.64,120585,6095.0,2022-06-02,,30.0,No,,"0,25",Hayır,,hayır,EVET,HAYIR,No,2025-Q3
SUP034,Şensoy Soylu Mobilya Tic.,MOBILYA,Balikesir,Küçük,2014.0,28.0,9217594648,,4732091.38,47,13.0,"91,49",90.75,"77,69",87.97,15443,2438.0,17-01-22,22/02/2025,90.0,HAYIR,0.16,"0,11",false,evet,No,Yes,No,Hayır,2025-Q3
SUP083,BILGE SAKARYA MOBILYA SAN. VE TIC. A.Ş.,MOBILYA,  Gaziantep  ,ORTA,,194.0,4968562187,166913253.93,23298064.68,100,22.0,108.11,103.90,"104,42",101.49,45532,8815.0,19/06/2022,24.05.2026,60.0,Evet,0.08,,No,1,true,evet,Hayır,HAYIR,2025-Q1
SUP064,Tevetoğlu Şafak Mobilya Tic.,mobilya,ANKARA,küçük,2009,,8849912163,58302167.44,"12.615.301,74",51,9.0,190.39,"192,22","192,26",197.30,11518,1359.0,2025-09-01,19/07/2026,60.0,false,0.22,"0,85",HAYIR,Yes,0,Yes,No,HAYIR,2025-Q1
SUP028,Ertaş Kısakürek Taşımacılık Holding A.Ş.,  Lojistik  ,İzmir,Large,1986,414.0,3787429673,,315882185.87,390,82.0,,2211.50,"2.440,09","1.953,42",570089,146593.0,2020-11-09,,30.0,Yes,0.12,"0,55",0,true,false,EVET,0,false,2025-Q3
SUP058,  Yorulmaz Çelik San. ve Tic. A.Ş.  ,Metal ve Çelik,DENIZLI,Medium,1976,238.0,3786814479,"129.146.791,58","4.065.714,43",86,21.0,1094.42,"1.213,90",1153.58,"1.170,15",60181,4577.0,03.12.2021,2025-03-14,45.0,HAYIR,"0,12","0,48",HAYIR,evet,0,hayır,Evet,,2025-Q1
SUP078,sakarya ambalaj tic.,AMBALAJ,  Denizli  ,MİKRO,2009,1.0,4317393637,"8.379.359,71","570.146,91",17,8.0,113.11,,106.77,105.38,947,62.0,14-08-23,04-02-25,60.0,hayır,0.13,"0,48",Hayır,evet,1,false,Hayır,Hayır,2025-Q4
SUP081,Gül Yorulmaz Konfeksiyon Ltd. Şti.,TEKSTIL,Samsun,Small,2012,21.0,2182339848,65486742.50,10580420.79,44,2.0,231.46,238.01,251.40,249.12,10952,897.0,20-08-24,,60.0,hayır,"0,16",0.38,No,false,No,hayır,0,No,2025-Q4
SUP046,gül çelik ltd. şti.,Metal ve Çelik,MANISA,Mikro,2002,9.0,2883552317,9237812.64,"706.128,83",10,4.0,"165,76","167,71","174,85",173.91,3869,718.0,20.11.2016,20.02.2026,45.0,false,"0,28","0,42",hayır,hayır,HAYIR,Evet,HAYIR,false,2025-Q1
SUP051,  İnönü Akçay Mobilya San. ve Tic. A.Ş.  ,mobilya,Şanlıurfa,Medium,2005,99.0,6977468862,"139.323.185,16","9.279.358,96",139,40.0,908.27,"854,00","852,35",665.60,31257,8964.0,2021-03-04,03/10/2025,45.0,0,0.18,"0,31",Evet,1,hayır,Evet,0,true,2025-Q4
SUP052,SAKARYA GIDA SAN. VE TIC. A.Ş.,Gıda ve İçecek,Istanbul,orta,2003.0,139.0,1606853619,"886.705.250,55","71.479.916,81",54,25.0,779.20,800.18,"751,11",832.74,19273,959.0,30/04/2025,19-08-26,60.0,EVET,0.09,"0,35",,1,No,EVET,HAYIR,true,2025-Q4
SUP063,AKSU ERASLAN GIDA TIC.,gıda ve i̇çecek,BURSA,KÜÇÜK,2016,29.0,8016873386,44573485.02,7295409.15,18,9.0,"139,76",,"124,54","125,17",1243,120.0,11/10/2024,2025-11-11,60.0,,"0,30","0,12",false,1,true,true,false,false,2025-Q4
SUP004,şafak türk lojistik ltd. şti.,Lojistik,  Mersin  ,küçük,1989,34.0,7978480182,"48.559.044,46",7774538.21,45,14.0,"295,04",294.83,,256.86,4887,740.0,04.03.2018,,60.0,HAYIR,"0,45",0.68,HAYIR,Yes,1,false,hayır,EVET,2025-Q3
SUP039,zengin gülen mobilya san. tic. ltd. şti.,  Mobilya  ,Manisa,Medium,1975,120.0,3284210201,"319.212.007,45","9.579.568,85",48,10.0,1092.12,"1.092,65","1.006,00","1.175,77",17033,45.0,25.12.2023,08-08-26,60.0,Hayır,0.04,0.54,HAYIR,HAYIR,hayır,evet,HAYIR,HAYIR,2025-Q3
SUP073,şama elektronik san. tic. ltd. şti.,Elektronik,Gaziantep,ORTA,2003,79.0,4971870724,"636.233.018,98","76.495.502,54",137,0.0,"761,93",708.24,685.81,717.55,42435,7390.0,24.03.2017,2026-07-09,90.0,Hayır,0.10,0.38,HAYIR,EVET,No,true,evet,,2025-Q1
SUP076,Yaman Gül İplik San. ve Tic. A.Ş.,Tekstil,diyarbakır,Orta,1995.0,,5283644089,495066530.34,42361047.52,71,,"111,83","114,76","120,99",103.83,107064,9461.0,03/05/2020,2025-11-02,45.0,No,"0,09",0.51,,EVET,0,Evet,HAYIR,0,2025-Q1
SUP017,Kısakürek Mobilya San. ve Tic. A.Ş.,mobilya,  Bursa  ,ORTA,1982,166.0,3788957982,"544.939.452,11",24063339.08,64,21.0,826.44,"790,82",780.69,795.25,104155,7464.0,25/10/2018,2026-08-27,90.0,Hayır,"0,23",0.26,hayır,Hayır,HAYIR,true,Evet,HAYIR,2025-Q1
SUP067,Akçay İnşaat Malzemeleri Tic.,İnşaat Malzemeleri,tekirdağ,KÜÇÜK,2014,44.0,6854973341,"79.747.507,16","18.542.460,44",54,6.0,189.65,"177,74",183.46,"196,51",3840,622.0,17-01-23,16/08/2025,60.0,Hayır,"0,19","0,64",0,1,true,0,hayır,0,2025-Q1
SUP030,HAYRIOĞLU KARADENIZ LOJISTIK LTD. ŞTI.,Lojistik,Denizli,Küçük,2014,17.0,3748467739,"72.842.502,62","3.823.504,01",17,7.0,"178,53","209,26","238,89",250.53,4869,121.0,05.06.2020,,,Hayır,0.15,0.22,0,1,No,Yes,Hayır,hayır,2025-Q2
SUP008,Dumanlı Zengin Otomotiv Ltd. Şti.,Otomotiv Yan Sanayi,VAN,küçük,2000.0,20.0,7773602601,,6186780.21,25,7.0,"93,90","89,88",99.94,102.78,3639,388.0,30.10.2023,2025-02-28,90.0,No,0.09,0.80,No,EVET,HAYIR,,0,hayır,2025-Q1
SUP053,Şener Otomotiv Ltd. Şti.,OTOMOTIV YAN SANAYI,ÇORUM,Small,1994,45.0,9614341038,23144437.61,904941.04,52,10.0,"153,31",146.79,147.35,137.68,11018,699.0,2021-10-08,,90.0,No,"0,14","0,44",HAYIR,true,Hayır,true,No,Hayır,2025-Q2
SUP074,YÜKSEL AMBALAJ TIC.,Ambalaj,Sakarya,MİKRO,2005.0,3.0,7567661829,"4.261.512,74",,25,,"143,88","145,49",,143.05,2433,243.0,24/11/2017,,60.0,hayır,,"0,69",Hayır,evet,Yes,,HAYIR,hayır,2025-Q4
SUP048,Şensoy Şama Kimya Tic.,kimya,Ankara,Küçük,1994,13.0,8151820371,"86.976.403,43",,13,2.0,"350,86",357.45,"377,60",339.81,11053,573.0,25-03-21,2026-04-29,90.0,,0.15,0.40,hayır,Yes,HAYIR,true,false,No,2025-Q4
SUP044,Kısakürek Tevetoğlu Çelik Tic.,Metal ve Çelik,SAKARYA,Small,2002,,9156149784,94726668.16,"15.339.854,71",33,3.0,127.78,"155,60","129,86",,13304,2511.0,2017-10-09,,60.0,EVET,"0,17",0.33,No,hayır,evet,false,false,Hayır,2025-Q4
SUP078,Sakarya Ambalaj Tic.,ambalaj,Denizli,MİKRO,2009,1.0,4317393637,8379359.71,"548.521,17",16,8.0,"115,37","106,93",107.69,114.03,857,35.0,14/08/2023,2025-02-04,60.0,0,"0,26",,HAYIR,Evet,EVET,hayır,No,,2025-Q1
SUP061,Erdoğan Elektronik Grup A.Ş.,  Elektronik  ,Eskişehir,büyük,1989,2728.0,6900109439,"6.921.535.943,09",,281,49.0,"4.712,89",4269.82,"4.457,80","5.230,22",602704,71422.0,16-12-24,05-06-26,90.0,,"0,06",,hayır,,,,Hayır,false,2025-Q2
SUP029,Sener Sezer Celik Ltd. Sti.,Metal ve Çelik,tekirdağ,Small,,10.0,9760385974,"39.682.329,72","6.970.724,41",47,9.0,334.39,"331,99","386,03",432.00,2140,251.0,14-04-21,29/08/2026,90.0,false,"0,22",0.50,No,EVET,,Evet,HAYIR,Hayır,2025-Q3
SUP085,  Şafak Kimyasal Ürünler Tic.  ,Kimya,Sakarya,Micro,2012,2.0,9398262248,1471198.43,"123.925,82",18,3.0,165.69,"165,26",159.62,,3414,813.0,28.04.2024,27-12-24,60.0,Hayır,"0,27","0,51",,Evet,hayır,evet,No,HAYIR,2025-Q3
SUP061,Erdoğan Elektronik Grup A.Ş.,Elektronik,,Large,1989,2728.0,6900109439,6921535943.09,"164.700.703,74",277,63.0,4521.08,4479.72,4670.04,4938.12,624103,86701.0,16/12/2024,2026-06-05,90.0,EVET,0.09,"0,04",hayır,EVET,0,Yes,false,Yes,2025-Q1
SUP017,  Kısakürek Mobilya San. ve Tic. A.Ş.  ,Mobilya,Bursa,ORTA,,166.0,3788957982,544939452.11,"24.567.850,21",61,23.0,"884,48",744.55,732.65,"745,25",105264,,25-10-18,27.08.2026,90.0,No,0.26,0.21,false,Hayır,hayır,1,EVET,No,2025-Q2
SUP018,Arslan İçecek Ltd. Şti.,Gıda ve İçecek,konya,küçük,1990,18.0,3362316656,33327239.36,2440107.64,47,18.0,"198,16",264.30,"216,12","223,52",15045,1240.0,12-01-18,12/11/2025,90.0,No,,0.17,HAYIR,Evet,No,HAYIR,HAYIR,EVET,2025-Q4
SUP010,Sezgin Mobilya Holding A.Ş.,  Mobilya  ,Konya,büyük,,547.0,1795118380,"5.335.670.572,32","177.758.430,32",223,10.0,2840.31,,2802.23,"3.015,57",649956,95956.0,20/10/2016,22.04.2026,60.0,EVET,0.12,,hayır,Evet,false,evet,No,EVET,2025-Q2
SUP030,Hayrioğlu Karadeniz Lojistik Ltd. Şti.,  Lojistik  ,Denizli,Small,2014,17.0,3748467739,72842502.62,"3.753.814,48",15,6.0,"166,07","225,80","255,50",233.25,5291,93.0,05/06/2020,23/02/2026,,hayır,0.17,0.26,No,1,HAYIR,Evet,Hayır,,2025-Q3
SUP063,  Aksu Eraslan Gıda Tic.  ,Gida ve Icecek,Bursa,Küçük,2016,29.0,8016873396,"44.573.485,02",7357351.34,17,7.0,129.84,"144,89",124.87,"137,77",1303,96.0,11.10.2024,11.11.2025,60.0,true,"0,34",0.13,0,evet,Yes,1,Hayır,Hayır,2025-Q2
SUP018,Arslan Icecek Ltd. Sti.,Gıda ve İçecek,Konya,KÜÇÜK,1990,18.0,3362316656,"33.327.239,36",2812577.12,57,23.0,"200,53","227,91",233.47,227.42,14614,896.0,12/01/2018,2025-11-12,90.0,false,"0,24","0,26",Hayır,evet,hayır,1,HAYIR,Evet,2025-Q1
