supplier_id,company_name,sector,city,company_size,founded_year,employee_count,vkn,supplier_annual_revenue_tl,annual_purchase_volume_tl,total_orders_last_year,late_orders_last_year,price_q1,price_q2,price_q3,price_q4,units_shipped_last_year,units_returned_last_year,contract_start_date,last_audit_date,payment_terms_days,iso_certified,overdue_debt_ratio,debt_to_revenue_ratio,payment_default_last_3y,has_export_documentation,requires_full_upfront_payment,site_visit_verified,exports_to_eu,has_emissions_reporting_capability
SUP041,i̇nönü gıda ltd. şti.,gıda ve i̇çecek,İstanbul,Small,2011,31.0,8661565458,,"10.089.294,87",14,5.0,120.25,115.16,,,2567,143.0,01.02.2025,2024-11-19,45.0,false,,0.33,0,true,0,1,Hayır,evet
SUP048,Şensoy Şama Kimya Tic.,KIMYA,ANKARA,KÜÇÜK,1994,13.0,8151820371,"86.976.403,43","14.377.360,00",14,2.0,326.21,353.59,373.21,374.55,11062,772.0,,29.04.2026,90.0,HAYIR,"0,12","0,55",Hayır,Evet,HAYIR,evet,0,Hayır
SUP036,Eraslan Yaman Oto Yedek Parça San. ve Tic. A.Ş.,  Otomotiv Yan Sanayi  ,Denizli,Orta,1982,169.0,2236851603,258076063.40,,77,4.0,,"816,69",,"973,67",52823,7343.0,2024-07-01,29-12-24,60.0,hayır,0.12,"0,29",No,evet,HAYIR,Yes,HAYIR,
SUP073,şama elektronik san. tic. ltd. şti.,Elektronik,GAZIANTEP,Medium,2003.0,79.0,4981870724,"636.233.018,98",76495502.54,137,0.0,,"708,24","685,81",717.55,42435,7390.0,24/03/2017,,90.0,HAYIR,"0,10",0.38,No,evet,hayır,,EVET,0
SUP056,hayrioğlu soylu nakliyat grup a.ş.,  Lojistik  ,Denizli,büyük,1961.0,2282.0,8584161691,"5.528.303.491,61","146.269.607,17",342,101.0,293.75,289.30,296.10,292.74,345618,339.0,13.09.2016,,45.0,,0.21,0.31,No,EVET,hayır,true,No,1
SUP055,aksu duran kimya grup a.ş.,Kimya,Sakarya,BÜYÜK,1961,,2704303056,3413617452.14,204716606.93,108,3.0,"3.967,46",3756.74,"4.106,70",3724.10,454440,57766.0,20/01/2023,25-04-26,60.0,true,,"0,41",,Evet,HAYIR,evet,Evet,evet
SUP034,  Şensoy Soylu Mobilya Tic.  ,Mobilya,Balıkesir,Small,,28.0,9217594648,"25.756.241,96",4226295.20,53,12.0,97.78,"93,65","85,74","77,73",13484,2519.0,2022-01-17,22.02.2025,90.0,No,"0,16",,false,Evet,hayır,Yes,Hayır,hayır
SUP078,Sakarya Ambalaj Tic.,AMBALAJ,Denizli,Mikro,2009,1.0,4317393637,8379359.71,"548.521,17",16,8.0,"115,37",106.93,"107,69",114.03,857,35.0,14-08-23,04/02/2025,60.0,hayır,"0,26","0,53",HAYIR,evet,Yes,HAYIR,Hayır,hayır
SUP043,TARHAN ŞAFAK ELEKTRIK TIC.,  Elektronik  ,kayseri,küçük,,21.0,3961201837,"79.068.927,87",13187055.48,37,11.0,"242,25",236.86,225.02,215.71,14347,,,2026-05-18,90.0,hayır,0.19,"0,65",false,true,hayır,1,,1
SUP050,Yılmaz Makine San. Tic. Ltd. Şti.,makine i̇malat,ŞANLIURFA,Orta,1981,179.0,9805929621,703410436.07,57108759.48,127,25.0,"167,36",150.97,"145,78","152,78",78995,922.0,20/05/2019,28/08/2025,45.0,Evet,0.09,,true,Evet,false,EVET,HAYIR,true
SUP012,MANÇO BILIR KIMYA LTD. ŞTI.,kimya,  Adana  ,Small,1994.0,37.0,3045053310,"21.773.769,46",5346669.93,12,6.0,145.74,"138,99",152.84,"149,78",558,116.0,25-06-22,13/04/2025,60.0,,,0.29,HAYIR,true,false,Evet,false,Hayır
SUP031,Alemdar Türk Mobilya Tic.,Mobilya,,Küçük,,32.0,6886753392,"87.762.424,10",7966583.90,42,8.0,,,318.56,"297,05",12727,727.0,2017-08-23,2025-03-06,90.0,,0.16,,hayır,Evet,,evet,hayır,HAYIR
SUP040,Yaman Zorlu Metal Ltd. Şti.,Metal ve Çelik,Eskisehir,Küçük,2018.0,29.0,8007661779,21408268.93,2624896.17,11,3.0,112.09,"118,71",117.18,116.83,3354,665.0,2022-11-07,27/02/2025,30.0,false,0.16,0.82,Hayır,HAYIR,HAYIR,true,Hayır,HAYIR
SUP029,  Şener Sezer Çelik Ltd. Şti.  ,  Metal ve Çelik  ,Tekirdag,Small,2017,10.0,9760385974,39682329.72,7246319.13,52,8.0,325.62,"344,46",364.58,394.89,2213,331.0,2021-04-14,2026-08-29,90.0,Hayır,"0,26",0.42,Hayır,Evet,HAYIR,EVET,,No
SUP010,Sezgin Mobilya Holding A.Ş.,Mobilya,Konya,BÜYÜK,1998,547.0,1799118380,"5.335.670.572,32",194441806.16,226,10.0,3023.66,"2.816,31","2.876,76",2973.56,687040,111563.0,20-10-16,2026-04-22,60.0,1,0.11,0.39,false,evet,No,evet,HAYIR,evet
SUP065,Duran Demir Celik Ltd. Sti.,METAL VE ÇELIK,tekirdağ,küçük,2005,20.0,7949588879,55821026.46,7815900.41,58,16.0,80.77,81.30,75.84,71.32,2863,342.0,18/04/2020,01-09-26,60.0,HAYIR,,0.47,evet,No,Hayır,EVET,hayır,hayır
SUP006,  Tevetoğlu Otomotiv Tic.  ,Otomotiv Yan Sanayi,Eskişehir,Küçük,2008.0,38.0,9713315090,"21.555.231,80","2.900.517,76",58,20.0,312.14,"358,28","354,14",360.55,9227,1251.0,25.08.2020,07.10.2025,45.0,false,"0,21",0.55,hayır,1,,evet,hayır,false
SUP046,gül çelik ltd. şti.,Metal ve Celik,manisa,MİKRO,2002.0,9.0,2883552317,9237812.64,"706.128,83",10,4.0,"165,76","167,71",174.85,"173,91",3869,718.0,20/11/2016,20-02-26,45.0,No,"0,28","0,42",0,0,false,true,false,false
SUP032,Aslan Erdoğan İplik San. ve Tic. A.Ş.,Tekstil,i̇stanbul,Orta,,184.0,8026217457,"922.087.151,04",58434839.42,80,4.0,"599,44","573,81",577.47,"568,64",107609,11612.0,22-01-22,,90.0,No,"0,32",0.15,0,evet,HAYIR,evet,hayır,Yes
SUP035,çamurcuoğlu şensoy yapı tic.,İnşaat Malzemeleri,Ankara,Mikro,2007,6.0,4394210472,5933265.58,1319816.83,20,1.0,"56,22","50,72",,,973,164.0,2023-06-04,2026-07-29,30.0,hayır,"0,24",,HAYIR,Hayır,Hayır,true,Hayır,No
SUP045,Eraslan Mobilya Tic.,Mobilya,KAHRAMANMARAŞ,küçük,1987,37.0,1715969661,95079167.85,"18.903.345,03",13,3.0,"84,79",90.50,97.62,96.31,625,21.0,27.08.2024,,60.0,evet,0.08,0.24,Hayır,1,evet,,,hayır
SUP085,şafak kimyasal ürünler tic.,Kimya,  Sakarya  ,mikro,2012,2.0,9398267248,1471198.43,"112.089,39",19,4.0,"152,76",,162.77,157.13,3048,708.0,28.04.2024,27-12-24,60.0,0,0.27,"0,42",Hayır,EVET,Hayır,false,Hayır,hayır
SUP017,Kısakürek Mobilya San. ve Tic. A.Ş.,  Mobilya  ,Bursa,ORTA,,166.0,3788957982,"544.939.452,11",,64,21.0,"826,44",790.82,"780,69","795,25",104155,7464.0,25/10/2018,2026-08-27,90.0,hayır,0.23,"0,26",false,Hayır,Hayır,evet,true,Hayır
SUP066,HANÇER GÜLEN DEMIR ÇELIK LTD. ŞTI.,  Metal ve Çelik  ,,Micro,2015,3.0,9962309131,"6.045.170,35","1.747.214,09",26,11.0,182.99,"182,02",,"208,34",997,,11-02-20,,30.0,HAYIR,"0,23","0,70",hayır,Yes,true,1,hayır,No
SUP008,Dumanlı Zengin Otomotiv Ltd. Şti.,Otomotiv Yan Sanayi,Van,Small,2000.0,20.0,7773602601,"50.375.219,30","6.186.780,21",25,7.0,"93,90",89.88,"99,94","102,78",3639,388.0,30-10-23,28.02.2025,90.0,No,0.09,0.80,HAYIR,evet,No,EVET,Hayır,0
SUP070,Bilgin Tekstil San. Tic. Ltd. Şti.,Tekstil,Manisa,Orta,1981,135.0,5788728743,"258.209.836,78","35.826.324,02",62,9.0,"1.010,25","1.053,89",1145.35,"1.109,99",64773,,2020-08-09,2025-12-11,45.0,Hayır,0.07,"0,52",Hayır,Yes,0,Evet,false,false
SUP057,Ihsanoglu Arsoy Oto Yedek Parca Tic.,otomotiv yan sanayi,Sanliurfa,Small,1988,14.0,7582029704,"50.132.418,68","9.419.171,62",30,10.0,136.72,"123,65",126.92,,11328,2454.0,2017-01-09,05/12/2024,45.0,evet,"0,23",0.31,false,,hayır,,false,Hayır
SUP020,Ülker Bilgin Kauçuk Tic.,Plastik ve Kauçuk,Kocaeli,küçük,1986,44.0,1531003305,,2922639.59,11,5.0,"264,98",260.01,235.06,"215,76",1875,183.0,16/11/2017,15-10-24,45.0,0,"0,28",0.47,evet,EVET,HAYIR,EVET,No,
SUP071,Demirel Makine İmalat Tic.,Makine İmalat,Eskişehir,Small,1991,21.0,3753046371,"26.757.916,22",5139016.67,39,19.0,"102,96",94.20,"84,25","76,54",11121,1464.0,2016-10-24,2024-11-04,60.0,HAYIR,0.23,"0,26",hayır,evet,hayır,No,false,Hayır
SUP026,Ihsanoglu Tarhan Yapi Ltd. Sti.,İNŞAAT MALZEMELERI,Kocaeli,MİKRO,2021.0,,3328120679,2644027.80,"546.710,28",24,,"142,89","129,82",136.03,"126,74",4983,1181.0,26-03-21,2026-03-09,90.0,0,0.25,"0,37",hayır,true,0,1,Hayır,Hayır
SUP054,  Akar Manço Oto Yedek Parça San. Tic. Ltd. Şti.  ,Otomotiv Yan Sanayi,Gaziantep,Medium,2008,142.0,2888880672,"637.065.138,54",7836505.98,54,17.0,1134.67,1155.27,1102.99,1098.75,119666,24372.0,30.04.2025,,30.0,0,"0,13",0.94,HAYIR,evet,No,evet,false,1
SUP014,  Ergül Kimyasal Ürünler Ltd. Şti.  ,KIMYA,Mersin,Küçük,2007,30.0,7981693409,"67.733.356,47",7987743.56,14,8.0,116.71,119.78,"119,00",,13170,859.0,2023-02-26,2024-11-24,,1,0.20,"0,48",false,EVET,hayır,hayır,Hayır,hayır
SUP062,Ülker Kauçuk Ltd. Şti.,  Plastik ve Kauçuk  ,Adana,Micro,2010,6.0,6625881534,3369894.07,416058.49,22,8.0,"136,46",141.37,"137,07",135.12,2472,223.0,31/10/2018,18-12-24,90.0,Hayır,0.15,"0,46",HAYIR,1,false,Evet,Hayır,
SUP004,şafak türk lojistik ltd. şti.,lojistik,mersin,Small,1989,34.0,7978480182,48559044.46,"7.690.647,61",44,18.0,"256,11","268,74","270,14",265.29,4804,773.0,04/03/2018,12/12/2025,60.0,false,,0.80,No,true,Yes,EVET,HAYIR,
SUP018,Arslan Icecek Ltd. Sti.,  Gıda ve İçecek  ,Konya,Küçük,1990,18.0,3362316656,"33.327.239,36",2812577.12,57,23.0,"200,53","227,91",233.47,"227,42",14614,896.0,2018-01-12,12/11/2025,90.0,HAYIR,0.24,"0,26",HAYIR,true,No,Evet,No,Yes
SUP039,zengin gülen mobilya san. tic. ltd. şti.,Mobilya,manisa,Medium,1975.0,120.0,3284210201,"319.212.007,45",8819618.34,42,10.0,"1.005,78",,"1.051,79","1.128,98",16629,54.0,25.12.2023,,60.0,false,"0,05",0.38,0,No,0,evet,HAYIR,No
SUP009,Bilge Ambalaj San. ve Tic. A.S.,ambalaj,Adana,ORTA,2005,178.0,9208121918,757454785.67,90645079.27,76,8.0,"779,26","777,65","732,71",775.67,65444,10285.0,04-06-21,31-05-26,45.0,No,0.13,0.29,false,EVET,hayır,true,EVET,No
SUP068,Demir Yüksel Kimyasal Ürünler San. ve Tic. A.Ş.,kimya,Balıkesir,Büyük,1959,1439.0,1415741331,5934917818.18,170795396.59,247,34.0,1133.64,1075.57,"1.098,75",1135.46,819142,69752.0,01.07.2025,2025-08-26,,0,0.12,"0,05",Hayır,Yes,HAYIR,,true,Hayır
SUP007,Akar Demirel Makine İmalat Ltd. Şti.,Makine İmalat,Balıkesir,Mikro,2013,4.0,2165667019,"9.101.490,12",2802263.44,25,16.0,55.58,51.51,"53,16","50,25",582,36.0,21/02/2017,19.11.2025,30.0,Hayır,0.25,0.35,1,Hayır,HAYIR,,false,
SUP037,  Durmuş Duran Plastik Ltd. Şti.  ,Plastik ve Kaucuk,Bursa,küçük,2004.0,36.0,8200471139,44292294.93,"7.550.987,60",57,20.0,"115,58",103.36,"110,45",101.71,11515,872.0,20/11/2020,2026-04-11,45.0,Hayır,0.14,0.44,false,evet,Hayır,true,,
SUP077,Çetin Güçlü Ambalaj Tic.,  Ambalaj  ,adana,Küçük,2014,13.0,9668826348,"70.420.827,23",14286766.95,13,5.0,372.08,"379,17","378,44",377.05,6142,483.0,25-09-24,2025-03-17,45.0,0,0.13,"0,99",0,Yes,evet,EVET,hayır,0
SUP063,Aksu Eraslan Gıda Tic.,  Gıda ve İçecek  ,Bursa,Küçük,2016,29.0,8016873396,44573485.02,"7.371.698,35",16,7.0,"130,72","134,88","134,31",138.23,1329,88.0,2024-10-11,11/11/2025,60.0,Yes,0.27,0.18,hayır,,EVET,evet,Hayır,No
SUP051,İnönü Akçay Mobilya San. ve Tic. A.Ş.,Mobilya,Şanlıurfa,ORTA,2005,99.0,6977468862,139323185.16,"8.498.981,51",143,31.0,"820,28","874,80",837.64,759.44,31697,5518.0,04/03/2021,,45.0,0,0.11,0.33,hayır,evet,Hayır,true,0,EVET
SUP047,Akgündüz İçecek Tic.,Gida ve Icecek,Ankara,Mikro,2015,8.0,5590581475,7842056.85,"1.554.570,98",29,5.0,"37,31",38.14,39.24,39.18,717,137.0,22.08.2018,,90.0,true,"0,17","0,28",0,,hayır,1,Hayır,false
SUP084,AKAR OTO YEDEK PARÇA TIC.,Otomotiv Yan Sanayi,Adana,Small,2009,15.0,5311426261,95937255.72,"11.251.010,09",31,4.0,,"358,21",359.83,"325,25",10415,955.0,2020-12-03,05-02-25,60.0,false,0.18,0.39,Hayır,false,hayır,true,hayır,
SUP016,  Ertaş Duran Mobilya San. Tic. Ltd. Şti.  ,Mobilya,Van,Medium,1990,222.0,5332003793,,19877019.05,123,36.0,606.79,530.69,"587,07","576,18",52237,8956.0,06-06-17,30-03-26,30.0,HAYIR,0.16,0.26,false,1,0,true,Yes,HAYIR
SUP028,  Ertaş Kısakürek Taşımacılık Holding A.Ş.  ,LOJISTIK,İzmir,büyük,1986.0,414.0,3787429673,5186256634.29,371889435.19,376,89.0,2247.18,"2.278,95",2384.36,"2.172,83",597781,130421.0,09/11/2020,14-01-25,30.0,Evet,0.13,0.67,HAYIR,evet,No,EVET,0,0
SUP042,Demir Manço Oto Yedek Parça Ltd. Şti.,Otomotiv Yan Sanayi,Manisa,küçük,2004,,2983273157,"77.013.007,23","8.624.094,38",15,3.0,184.02,183.84,196.95,226.81,2027,197.0,29-06-17,10.07.2026,60.0,Yes,0.11,0.21,hayır,false,hayır,true,,HAYIR
SUP059,Durdu Akca Ambalaj Tic.,Ambalaj,Manisa,Küçük,1996,33.0,9313237056,"16.664.683,53",1132938.51,22,3.0,"71,57","78,78","76,16","78,76",2509,526.0,15-10-20,23/07/2026,60.0,0,0.32,0.39,HAYIR,Yes,0,1,0,0
SUP027,şener aksu makine ltd. şti.,Makine İmalat,Aydın,KÜÇÜK,1994,14.0,1249947179,16406178.41,"1.334.695,73",28,4.0,348.51,"372,93",378.62,386.29,12017,2080.0,27.11.2017,2025-12-27,60.0,Hayır,0.15,"0,78",false,1,HAYIR,Evet,No,false
SUP049,ŞAFAK ÇELIK SAN. TIC. LTD. ŞTI.,metal ve çelik,Adana,ORTA,1984,,2629148653,797018309.72,"83.723.331,02",87,17.0,"481,14",451.36,437.03,453.25,47079,10258.0,04-08-18,25.04.2025,45.0,HAYIR,,0.48,No,Evet,0,Yes,Hayır,Hayır
SUP025,Ülker Kimya Ltd. Şti.,KIMYA,kocaeli,KÜÇÜK,1992,14.0,7719022941,,4204618.24,12,3.0,"225,00",219.42,"208,51","201,69",1393,155.0,26.09.2022,2025-02-19,30.0,false,,"0,53",Hayır,1,0,,No,HAYIR
SUP044,Kısakürek Tevetoğlu Çelik Tic.,Metal ve Çelik,Sakarya,KÜÇÜK,2002,23.0,9156149784,"94.726.668,16",15267024.16,29,3.0,143.68,"139,83","141,46","150,57",12322,2336.0,09/10/2017,05/07/2025,60.0,EVET,0.17,,No,Hayır,Hayır,HAYIR,No,Hayır
SUP082,Gülen Gül Çelik Tic.,Metal ve Celik,  İzmir  ,KÜÇÜK,1985.0,20.0,2765918039,"99.120.972,85","7.898.811,12",35,12.0,"241,93",238.16,"248,72",257.90,8020,691.0,14-05-18,,45.0,,0.10,0.31,No,,hayır,true,0,evet
SUP076,Yaman Gül İplik San. ve Tic. A.Ş.,TEKSTIL,DIYARBAKIR,Medium,1995.0,110.0,5283644089,495066530.34,42361047.52,71,19.0,"111,83",114.76,"120,99",103.83,107064,9461.0,03/05/2020,2025-11-02,45.0,false,"0,09","0,51",,EVET,HAYIR,evet,HAYIR,false
SUP058,  Yorulmaz Çelik San. ve Tic. A.Ş.  ,METAL VE ÇELIK,Denizli,Orta,1976,238.0,3786814479,"129.146.791,58",4065714.43,86,21.0,"1.094,42","1.213,90",1153.58,1170.15,60181,4577.0,03/12/2021,14.03.2025,45.0,,"0,12","0,48",false,Evet,hayır,false,evet,No
SUP033,Akça Plastik San. Tic. Ltd. Şti.,Plastik ve Kauçuk,Konya,Orta,1981.0,163.0,3408504557,384995038.54,"42.588.320,38",149,10.0,524.17,527.27,"523,15",,79942,1087.0,2020-04-13,20/08/2026,90.0,EVET,0.07,"0,37",No,Evet,1,,No,HAYIR
SUP081,  Gül Yorulmaz Konfeksiyon Ltd. Şti.  ,Tekstil,SAMSUN,KÜÇÜK,2012,21.0,2182339848,65486742.50,"8.926.164,79",49,2.0,241.61,243.44,"258,46",238.04,10948,828.0,20/08/2024,12-07-26,60.0,0,"0,18","0,41",HAYIR,0,Hayır,,0,hayır
SUP060,Gül İçecek San. ve Tic. A.Ş.,Gida ve Icecek,Çorum,Büyük,1999,2508.0,3268018242,"7.997.165.307,54","471.154.789,39",144,11.0,"1.547,18","1.542,01",1593.66,1600.93,148941,22964.0,12-01-18,15-11-24,45.0,Evet,0.16,,HAYIR,Evet,HAYIR,Yes,No,Yes
SUP064,Tevetoğlu Şafak Mobilya Tic.,  Mobilya  ,Ankara,küçük,2009,42.0,8849912163,"58.302.167,44","12.615.301,74",51,9.0,190.39,192.22,"192,26","197,30",11518,1359.0,01/09/2025,19/07/2026,60.0,HAYIR,"0,22","0,85",Hayır,true,0,1,HAYIR,0
SUP074,Yüksel Ambalaj Tic.,  Ambalaj  ,Sakarya,Mikro,2005,3.0,7567661829,"4.261.512,74","1.256.873,38",26,,151.57,154.78,,"146,78",2624,326.0,24/11/2017,2025-10-14,60.0,0,"0,16",0.38,HAYIR,evet,Yes,false,false,
SUP038,Zengin Makine İmalat Ltd. Şti.,Makine Imalat,Bursa,Small,2008,16.0,6850643170,,"4.915.088,46",54,15.0,176.98,177.28,177.59,"187,59",9350,1070.0,2021-02-28,13.04.2026,30.0,0,0.19,"0,71",Hayır,hayır,No,EVET,HAYIR,Yes
SUP030,Hayrioğlu Karadeniz Lojistik Ltd. Şti.,LOJISTIK,Denizli,KÜÇÜK,2014,17.0,3748467739,,4131170.63,18,7.0,"193,08",,232.23,254.43,5219,123.0,05/06/2020,2026-02-23,90.0,hayır,"0,14","0,31",Hayır,Yes,hayır,HAYIR,false,hayır
SUP002,yaman korutürk oto yedek parça san. tic. ltd. şti.,Otomotiv Yan Sanayi,kocaeli,ORTA,1989,247.0,5131647525,"862.744.929,71","81.548.069,45",51,19.0,156.06,"156,01",153.86,157.45,59797,2407.0,09/11/2020,2025-03-02,60.0,,0.05,"0,33",hayır,true,No,Yes,No,Hayır
SUP053,ŞENER OTOMOTIV LTD. ŞTI.,Otomotiv Yan Sanayi,Çorum,Küçük,,45.0,9614341038,23144437.61,889364.41,55,13.0,146.18,"137,94",143.28,"145,65",11148,758.0,2021-10-08,25/06/2026,90.0,Hayır,0.13,"0,46",HAYIR,Yes,0,EVET,No,No
SUP022,Aslan Oto Yedek Parça San. ve Tic. A.Ş.,OTOMOTIV YAN SANAYI,aydın,orta,2012.0,118.0,6314737996,"864.618.064,30","108.186.483,97",104,22.0,"452,15",426.65,413.50,387.22,94874,360.0,2018-05-30,02-07-25,90.0,true,"0,09",0.40,hayır,Evet,0,EVET,No,No
SUP003,korutürk makine i̇malat san. tic. ltd. şti.,Makine İmalat,kocaeli,Medium,1995,152.0,8139537675,"671.480.459,38",56927833.19,127,42.0,"136,72",144.01,151.73,158.61,94939,3542.0,08.06.2018,2026-02-17,45.0,EVET,"0,14",0.09,Hayır,EVET,0,Evet,Hayır,Yes
SUP024,Arsoy Yapı Ltd. Şti.,Insaat Malzemeleri,kocaeli,KÜÇÜK,,47.0,9941343523,"73.256.944,80",6563940.49,57,24.0,"140,05","130,96",144.22,151.85,9517,1483.0,24.11.2022,14.01.2025,60.0,,"0,12",,,No,,false,0,false
SUP080,Seven Ambalaj San. ve Tic. A.Ş.,Ambalaj,KONYA,ORTA,1978.0,,1100623127,403807855.63,"47.193.220,98",110,13.0,"1.108,30","1.046,96",1148.44,"1.126,23",95800,6056.0,20/09/2022,2025-08-05,30.0,EVET,0.14,"0,48",No,,Hayır,true,No,No
SUP075,soylu san. ve tic. a.ş.,i̇nşaat malzemeleri,Izmir,büyük,1962,712.0,1690331198,"2.558.831.511,76",13460725.80,370,156.0,"3.780,00",3980.63,3761.10,3510.52,213533,27203.0,2021-06-06,,30.0,EVET,"0,10","0,46",No,EVET,0,Evet,HAYIR,0
SUP021,Akdeniz Bilgin Otomotiv Tic.,  Otomotiv Yan Sanayi  ,Manisa,Small,2010,22.0,2931491901,"33.061.932,69","3.675.063,21",46,5.0,207.07,220.22,"196,98","183,00",4071,574.0,13.08.2021,,60.0,false,"0,29","0,58",0,evet,No,,No,No
SUP061,Erdoğan Elektronik Grup A.Ş.,Elektronik,Eskişehir,büyük,1989,2728.0,6900109439,6921535943.09,164700703.74,277,63.0,"4.521,08","4.479,72",4670.04,"4.938,12",624103,86701.0,16/12/2024,2026-06-05,,Yes,"0,09",0.04,No,evet,false,1,hayır,1
SUP072,ERDOĞAN AKÇAY MAKINE İMALAT LTD. ŞTI.,Makine İmalat,Ankara,küçük,2008,49.0,4347279560,"42.359.688,15","3.472.925,41",46,3.0,119.37,"126,15",131.32,"109,46",687,135.0,10-09-17,,90.0,hayır,"0,25","0,11",No,EVET,1,evet,0,0
SUP015,Eraslan Sezgin Nakliyat San. ve Tic. A.Ş.,Lojistik,Sakarya,Büyük,1976,2973.0,7299468043,7642121401.80,565958806.99,200,60.0,2186.51,"2.132,99",2166.48,2168.06,461913,16802.0,2022-07-18,,60.0,evet,0.11,0.26,No,Yes,false,1,No,false
SUP052,Sakarya Gıda San. ve Tic. A.Ş.,Gıda ve İçecek,i̇stanbul,orta,2003.0,139.0,1606853619,886705250.55,77707039.19,72,17.0,"783,13","770,96","761,88",758.60,16839,729.0,2025-04-30,,60.0,EVET,"0,13",,hayır,true,hayır,true,0,1
